group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,constraint_template,constraint_category,rm_odp_viewpoint,evaluation_mode,verdict,explanation,adaptation,in_paper_appendix
1,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Loose,Pattern-graded requirement,,,,Loose requires at least one side (or AB) to declare this.,Missing,INTENDED,Synchronization Compatibility,RuntimeLevel,Engineering,LLMAssisted,Gap,,,True
1,Communication Mechanism Mismatch,communication_mechanism,Loose,Pattern-graded requirement,,,,Both sides or AB canonical interface required.,Missing,INTENDED,Interface Compatibility,RuntimeLevel,Computational,LLMAssisted,Gap,,,True
1,Conceptual Quality Gap,Authors’ Unique Identifier,Loose,Pattern-agnostic,"kirillin v.; https, / / orcid.org / 0000-0002-9837-2461; zhan q.; https, / / orcid.org / 0000-0002-7765-5155","janse j.h.; https, / / orcid.org / 0000-0003-1636-679x; janssen a.b.g.; zhan q.",,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
1,Conceptual Quality Gap,Calibration Tools/Data,Loose,Pattern-agnostic,"historical meteorological data, in-situ temperature profiles.","empirical calibration with observed nutrients, water quality, biology, pdf study uses dutch generic calibration to avoid overfitting.",,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
1,Conceptual Quality Gap,Conceptual Model Evaluation,Loose,Pattern-agnostic,"evaluated, validated against observed temperature profiles, mixing depths in multiple studies.",extensively validated in >50 lakes,,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
1,Conceptual Quality Gap,Links to Publications & Reports,Loose,Pattern-agnostic,"kirillin et al., 2011; zhan et al., 2023",janse 2005; janse et al. 2010; janssen et al. 2019; zhan et al. 2023,,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
1,Conceptual Quality Gap,Sensitivity Analysis,Loose,Pattern-agnostic,"boundary-condition sensitivity wind, albedo, etc.",manual or automated sensitivity tests,,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
1,Conceptual Quality Gap,Uncertainty Analysis,Loose,Pattern-agnostic,scenario-based uncertainty assessment,"scenarios, monte carlo",,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
1,Conceptual Quality Gap,Validation Capabilities,Loose,Pattern-agnostic,validated against observed lake data,"validated with long-term data, pdf validation metrics include, - o2 r²=0.36, tn r²=0.40, - total chl-a r²=0.44.",,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
1,Data Schema Mismatch,(A or B).input vs AB.input,Loose,(A or B).input ↔ AB.input (similarity>0),A.in:meteorological forcing wind; radiation; temperature; humidity | B.in:temperature profile + mixing depth from flake; meteorological data hourly in pdf; nutrient load data; bathymetry; hydrology,,(none),max=0.00 | missing: AB.input,Missing,INTENDED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Gap,,,True
