group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind
8,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Loose,Pattern-graded requirement,,,,Loose requires at least one side (or AB) to declare this.,Missing,INTEGRATED
8,Communication Mechanism Mismatch,communication_mechanism,Loose,Pattern-graded requirement,,,,Both sides or AB canonical interface required.,Missing,INTEGRATED
8,Conceptual Quality Gap,Authors’ Unique Identifier,Loose,Pattern-agnostic,"madec, g.; lead model developer","vogt, m.; ecological model developer",,Both provide metadata.,Match,INTEGRATED
8,Conceptual Quality Gap,Calibration Tools/Data,Loose,Pattern-agnostic,"ocean reanalysis datasets, argo, satellite data","in situ, satellite dms, chlorophyll data",,Both provide metadata.,Match,INTEGRATED
8,Conceptual Quality Gap,Conceptual Model Evaluation,Loose,Pattern-agnostic,"validated in cmip, regional configurations",represents known seasonal dms production patterns,,Both provide metadata.,Match,INTEGRATED
8,Conceptual Quality Gap,Links to Publications & Reports,Loose,Pattern-agnostic,"madec et al., 2008; vogt et al., 2010","vogt et al., 2010",,Both provide metadata.,Match,INTEGRATED
8,Conceptual Quality Gap,Sensitivity Analysis,Loose,Pattern-agnostic,tunable through parameter sets,run with varying biological parameters,,Both provide metadata.,Match,INTEGRATED
8,Conceptual Quality Gap,Uncertainty Analysis,Loose,Pattern-agnostic,ensemble simulations supported,scenario-based dms flux uncertainty,,Both provide metadata.,Match,INTEGRATED
8,Conceptual Quality Gap,Validation Capabilities,Loose,Pattern-agnostic,"comparison to reanalysis, observational datasets",compared with global dms climatologies,,Both provide metadata.,Match,INTEGRATED
8,Data Schema Mismatch,(A or B).input vs AB.input,Loose,(A or B).input ↔ AB.input (similarity>0),A.in:bathymetry; initial t / s fields; surface forcing winds; heat; freshwater flux; initial; boundary conditions for ocean state variables; optionally; biogeochemical feedback fields from planktom10.; biogeochemical feedbacks influencing physical light climate or fluxes | B.in:temperature t; salinity s; 3d velocities u; v; w; mixed layer depth mld; shortwave radiation at depth; sea ice cover / thickness; physical ocean state variables from nemo; physical drivers for biogeochemistry,,(none),max=0.00 | missing: AB.input,Missing,INTEGRATED
8,Data Schema Mismatch,(A or B).output vs AB.output,Loose,(A or B).output ↔ AB.output (similarity>0),A.out:temperature t; salinity s; 3d velocities u; v; w; mixed layer depth mld; sea ice cover / thickness; shortwave radiation at depth | B.out:dms concentration; plankton functional type biomass; nutrient fields nitrate; phosphate; silicate; air-sea dms flux; light attenuation coefficient kd_bio; bio-induced heat absorption profile qbio; surface albedo modifier from biological activity,,temperature; salinity; dms; chlorophyll; nutrients,max=0.23,Match,INTEGRATED
8,Data Schema Mismatch,A.output,Loose,A.output ↔ B.input (≥1),temperature t; salinity s; 3d velocities u; v; w; mixed layer depth mld; sea ice cover / thickness; shortwave radiation at depth,temperature t; salinity s; 3d velocities u; v; w; mixed layer depth mld; shortwave radiation at depth; sea ice cover / thickness; physical ocean state variables from nemo; physical drivers for biogeochemistry,,temperature t ↔ temperature t (1.00); salinity s ↔ salinity s (1.00); 3d velocities u ↔ 3d velocities u (1.00); v ↔ v (1.00); w ↔ w (1.00); mixed layer depth mld ↔ mixed layer depth mld (1.00); sea ice cover / thickness ↔ sea ice cover / thickness (1.00); shortwave radiation at depth ↔ shortwave radiation at depth (1.00),Match,INTEGRATED
8,Data Schema Mismatch,B.output,Loose,B.output ↔ A.input (≥1),dms concentration; plankton functional type biomass; nutrient fields nitrate; phosphate; silicate; air-sea dms flux; light attenuation coefficient kd_bio; bio-induced heat absorption profile qbio; surface albedo modifier from biological activity,bathymetry; initial t / s fields; surface forcing winds; heat; freshwater flux; initial; boundary conditions for ocean state variables; optionally; biogeochemical feedback fields from planktom10.; biogeochemical feedbacks influencing physical light climate or fluxes,,bio-induced heat absorption profile qbio ↔ heat (0.90),Match,INTEGRATED
8,Data Synchronization,data_synchronization,Loose,Pattern-graded requirement,"physical state variables passed each timestep to planktom10, optional feedbacks received","receives physical fields each timestep from nemo, returns bio-optical, gas flux feedbacks",tracer exchange at each timestep,Loose requires at least one declaration of synchronization.,Match,INTEGRATED
8,Dimensionality Mismatch,dimensionality,Loose,Common exchanged variables align semantically,3d,3d,3d,A↔B token-sim=1.00 (>0 ⇒ aligned),Match,INTEGRATED
8,Distribution Version Mismatch,distribution_version,Loose,Pattern-graded similarity/equality,v3.3,2010,v3.3,A↔B token-sim=0.00 (> 0.00),Mismatch,INTEGRATED
8,Error Handling Mismatch,error_handling,Loose,Pattern-graded requirement,"built-in checks for cfl violations, nans, restarts",handled through coupling layer with nemo,handled via nemo tracer integration controls,Both A and B or AB canonical required.,Match,INTEGRATED
8,Execution Constraint Mismatch,execution_constraints,Loose,Pattern-graded requirement,"consistent grid, timestep with planktom10","same timestep, grid as nemo","shared timestep, vertical grid",Loose requires at least one side (or AB) to declare this.,Match,INTEGRATED
8,Execution Instruction Gap,execution_instructions,Loose,Require A or B,"compile with provided scripts, run using namelist config files","activated through nemo's namelist, tracer definitions",,At least one side must provide.,Match,INTEGRATED
8,File Format Mismatch,file_formats,Loose,Presence required,,,,Neither provides metadata.,Missing,INTEGRATED
8,Hardware Resource Mismatch,hardware_specification_and_requirements,Loose,Pattern-graded similarity/equality,hpc system,same as nemo,hpc recommended for global runs,A↔B token-sim=0.00 (> 0.00),Mismatch,INTEGRATED
8,Implementation Verification Gap,implementation_verification (A),Loose,Presence required,"validated via reference configurations; compared against climatologies, observations",,,A provides metadata,Match,INTEGRATED
8,Implementation Verification Gap,implementation_verification (B),Loose,Presence required,"tested against standalone runs, dms data; validated against climatology, in-situ measurements",,,B provides metadata,Match,INTEGRATED
8,Landing Page Gap,landing_page (A),Loose,Presence required,"https, / / www.nemo-ocean.eu",,,A provides landing page,Match,INTEGRATED
8,Landing Page Gap,landing_page (B),Loose,Presence required,"https, / / www.nemo-ocean.eu",,,B provides landing page,Match,INTEGRATED
8,Latency Expectation Mismatch,latency_expectations,Loose,Pattern-graded requirement,,,tightly coupled,Loose requires at least one side (or AB) to declare this.,Match,INTEGRATED
8,License Incompatibility,license,Loose,Pattern-graded requirement,cecill,cecill,,A↔B token-sim=1.00 (> 0.00),Match,INTEGRATED
8,Parallel Execution Incompatibility,parallel_execution,Loose,Pattern-graded requirement,true,true,true,Loose requires at least one side (or AB) to declare this.,Match,INTEGRATED
8,Programming Language Incompatibility,programming_language,Loose,Pattern-graded similarity/equality,fortran 90,fortran 90,fortran 90,A↔B token-sim=1.00 (> 0.00),Match,INTEGRATED
