group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,constraint_template,constraint_category,rm_odp_viewpoint,evaluation_mode,verdict,explanation,adaptation,in_paper_appendix
3,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Loose,Pattern-graded requirement,,,,Loose requires at least one side (or AB) to declare this.,Missing,INTEGRATED,Synchronization Compatibility,RuntimeLevel,Engineering,LLMAssisted,Gap,,,True
3,Communication Mechanism Mismatch,communication_mechanism,Loose,Pattern-graded requirement,,,,Both sides or AB canonical interface required.,Missing,INTEGRATED,Interface Compatibility,RuntimeLevel,Computational,LLMAssisted,Gap,,,True
3,Conceptual Quality Gap,Authors’ Unique Identifier,Loose,Pattern-agnostic,"øyvind breivik; https, / / orcid.org / 0000-0001-7016-8023; model developer, wave-ocean coupling experiments, diagnostics","jean-marc molines; core developer nemo ocean dynamics, configurations; øyvind breivik; wave-ocean coupling implementation, experiment design",,Both provide metadata.,Match,INTEGRATED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
3,Conceptual Quality Gap,Calibration Tools/Data,Loose,Pattern-agnostic,"operationally tuned, validated against satellite altimetry, buoy observations, reanalysis products e.g., era-interim wave reanalysis .","tuned using observed climatologies, reanalyses, including oras4, en3 temperature, salinity profiles, oi_v2 sst. wave-aware experiments compare ocean-only, coupled runs against these datasets.",,Both provide metadata.,Match,INTEGRATED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
3,Conceptual Quality Gap,Conceptual Model Evaluation,Loose,Pattern-agnostic,"operational at ecmwf, physics thoroughly documented as a third-generation spectral wave model. in breivik et al. 2015 , ecwam-derived fluxes are shown to reduce sst, mixed-layer biases when used to force nemo.","widely validated in cmip, operational contexts. wave-aware experiments demonstrate that including sea-state dependent stress, stokes-coriolis forcing, wave-breaking tke flux reduces sst, mixed-layer biases, yields a more realistic ocean heat content trend relative to oras4.",,Both provide metadata.,Match,INTEGRATED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
3,Conceptual Quality Gap,Links to Publications & Reports,Loose,Pattern-agnostic,"janssen, p. a. e. m. 2004. the interaction of ocean waves, wind.; breivik et al. 2015, jgr oceans, surface wave effects in the nemo ocean model - forced, coupled experiments.","madec, g. 2008 / 2012. nemo reference manual.; breivik et al. 2015, jgr oceans, surface wave effects in the nemo ocean model - forced, coupled experiments.",,Both provide metadata.,Match,INTEGRATED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
3,Conceptual Quality Gap,Sensitivity Analysis,Loose,Pattern-agnostic,"tuning of drag, dissipation, nonlinear source terms, sensitivity to spectral resolution, wind forcing products.","parameter sensitivity of mixing etau, langmuir mixing , drag formulations, wave-effect options on / off . experiments such as nolc no langmuir , noetau no etau quantify the relative impact of langmuir versus empirical deep mixing.",,Both provide metadata.,Match,INTEGRATED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
3,Conceptual Quality Gap,Uncertainty Analysis,Loose,Pattern-agnostic,"scenario, ensemble configurations using alternative drag / mixing parameterizations, forcings.","ensemble, scenario runs with different mixing configurations, forcings era-interim vs others , coupling setups forced vs fully coupled ifs-ecwam-nemo .",,Both provide metadata.,Match,INTEGRATED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
3,Conceptual Quality Gap,Validation Capabilities,Loose,Pattern-agnostic,"validated in hindcast, operational forecast modes versus buoy, satellite significant wave height, mean period, directional spectra.","comparison with argo / en3 profiles, sst analyses e.g., oi_v2 , altimetry, sea-ice datasets via lim , ocean reanalyses e.g., oras4 . wave-aware configurations evaluated using control vs wave-effect experiments ctrl, tauoc, wtke, stcor, wave .",,Both provide metadata.,Match,INTEGRATED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
3,Data Schema Mismatch,(A or B).input vs AB.input,Loose,(A or B).input ↔ AB.input (similarity>0),A.in:wind_u10 # m s^-1; wind_v10 # m s^-1; sea_ice_concentration # 0-1 optional; attenuation; drag regime; surface_current_u # m s^-1 optional; from ocean model; surface_current_v # m s^-1 optional; atmospheric winds; ice fields; optional ocean / ice modifiers; optional surface currents; sea-ice fraction for wave-current; wave-ice effects in coupled mode e.g.; ifs-ecwam-nemo framework .; 10 m wind u10; v10; sea-ice concentration attenuation; drag regime selection; bathymetry; coastlines | B.in:stokes_drift_surface_u # m s^-1; stokes_drift_surface_v # m s^-1; stokes_profile_scale # m^-1; inverse depth scale for stokes drift profile; wave_modified_stress_to_ocean # n m^-2 ratio or absolute water-side stress; wave_breaking_tke_flux # w m^-2; sea_ice_concentration # 0-1 from wave / ice system or external forcing; standard atmospheric forcing heat; freshwater; momentum; standard surface forcing plus wave-induced fields from a spectral wave model ecwam when wave coupling is active; provides surface stokes drift; parameters for the vertical stokes drift profile; sea-state dependent water-side stress; breaking-wave tke flux used as upper boundary conditions in nemo.; surface wind stress; heat / freshwater fluxes e.g.; era-interim; runoff; restoring fields; sea-ice fields if lim is enabled,,(none),max=0.00 | missing: AB.input,Missing,INTEGRATED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Gap,,,True
3,Data Schema Mismatch,(A or B).output vs AB.output,Loose,(A or B).output ↔ AB.output (similarity>0),A.out:significant_wave_height # m; stokes_drift_surface_u # m s^-1; stokes_drift_surface_v # m s^-1; stokes_drift_profile_parameters # e-folding depth / inverse scale m^-1; wave_modified_stress_to_ocean # n m^-2 water-side stress factor; wave_breaking_tke_flux # w m^-2; spectral_density # m^2 hz^-1 per direction bin | B.out:sea_surface_temperature # °c; sea_surface_salinity # psu; surface_current_u # m s^-1; surface_current_v # m s^-1; mixed_layer_depth # m; sea_ice_concentration # 0-1 if lim enabled; surface_stress_to_atmosphere # n m^-2 diagnostic; may differ from water-side stress; wave-aware diagnostics e.g.; contribution of stokes-coriolis forcing; tke budgets,,coupled fields including sea surface temperature; mixed layer depth; upper-ocean currents; wave stress; tke flux; stokes drift diagnostics; experiment includes fields with; without wave effects for comparison.,max=0.29,Match,INTEGRATED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Match,,,True
3,Data Schema Mismatch,A.output,Loose,A.output ↔ B.input (≥1),significant_wave_height # m; stokes_drift_surface_u # m s^-1; stokes_drift_surface_v # m s^-1; stokes_drift_profile_parameters # e-folding depth / inverse scale m^-1; wave_modified_stress_to_ocean # n m^-2 water-side stress factor; wave_breaking_tke_flux # w m^-2; spectral_density # m^2 hz^-1 per direction bin,stokes_drift_surface_u # m s^-1; stokes_drift_surface_v # m s^-1; stokes_profile_scale # m^-1; inverse depth scale for stokes drift profile; wave_modified_stress_to_ocean # n m^-2 ratio or absolute water-side stress; wave_breaking_tke_flux # w m^-2; sea_ice_concentration # 0-1 from wave / ice system or external forcing; standard atmospheric forcing heat; freshwater; momentum; standard surface forcing plus wave-induced fields from a spectral wave model ecwam when wave coupling is active; provides surface stokes drift; parameters for the vertical stokes drift profile; sea-state dependent water-side stress; breaking-wave tke flux used as upper boundary conditions in nemo.; surface wind stress; heat / freshwater fluxes e.g.; era-interim; runoff; restoring fields; sea-ice fields if lim is enabled,,stokes_drift_surface_u # m s^-1 ↔ stokes_drift_surface_u # m s^-1 (1.00); stokes_drift_surface_v # m s^-1 ↔ stokes_drift_surface_u # m s^-1 (1.00); stokes_drift_profile_parameters # e-folding depth / inverse scale m^-1 ↔ inverse depth scale for stokes drift profile (0.67); wave_modified_stress_to_ocean # n m^-2 water-side stress factor ↔ wave_modified_stress_to_ocean # n m^-2 ratio or absolute water-side stress (0.62); wave_breaking_tke_flux # w m^-2 ↔ wave_breaking_tke_flux # w m^-2 (1.00),Match,INTEGRATED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Match,,,True
3,Data Schema Mismatch,B.output,Loose,B.output ↔ A.input (≥1),sea_surface_temperature # °c; sea_surface_salinity # psu; surface_current_u # m s^-1; surface_current_v # m s^-1; mixed_layer_depth # m; sea_ice_concentration # 0-1 if lim enabled; surface_stress_to_atmosphere # n m^-2 diagnostic; may differ from water-side stress; wave-aware diagnostics e.g.; contribution of stokes-coriolis forcing; tke budgets,wind_u10 # m s^-1; wind_v10 # m s^-1; sea_ice_concentration # 0-1 optional; attenuation; drag regime; surface_current_u # m s^-1 optional; from ocean model; surface_current_v # m s^-1 optional; atmospheric winds; ice fields; optional ocean / ice modifiers; optional surface currents; sea-ice fraction for wave-current; wave-ice effects in coupled mode e.g.; ifs-ecwam-nemo framework .; 10 m wind u10; v10; sea-ice concentration attenuation; drag regime selection; bathymetry; coastlines,,surface_current_u # m s^-1 ↔ surface_current_u # m s^-1 optional (0.90); surface_current_v # m s^-1 ↔ surface_current_v # m s^-1 optional (0.90),Match,INTEGRATED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Match,,,True
3,Data Synchronization,data_synchronization,Loose,Pattern-graded requirement,"wave outputs are written or passed via coupler at each coupling interval, may be time-interpolated to ocean model time steps.","in forced mode, ecwam-derived fields are read from offline archives era-interim based . in coupled mode, fluxes, wave fields are exchanged via the coupler or single executable at each coupling interval.","exchange of fields at fixed coupling intervals, ifs → ecwam, nemo winds, fluxes , ecwam → nemo stokes drift, stress, tke flux , nemo → ifs sst, currents within a synchronized integration sequence.",Loose requires at least one declaration of synchronization.,Match,INTEGRATED,Synchronization Compatibility,RuntimeLevel,Engineering,LLMAssisted,Match,,,True
3,Dimensionality Mismatch,dimensionality,Loose,Common exchanged variables align semantically (or a declared conversion bridges them),2d spatial + 2d spectral frequency × direction,3d,"3d ocean , 2d spectral waves",A<->B token-sim=0.00 (not aligned) and no resampling/conversion policy is declared.,Mismatch,INTEGRATED,Dimensionality Compatibility,InformationLevel,Information,Deterministic,Mismatch,Deterministic check: A<->B token-sim=0.00 (not aligned) and no resampling/conversion policy is declared.,Aggregate or disaggregate the exchanged variable to the dimensionality required by the receiving model.,True
3,Distribution Version Mismatch,distribution_version,Loose,Pattern-graded similarity/equality,cy38r1,v3.4 orca1l42 + lim2 configuration,2015 reference configuration orca1l42 + ecwam cy38r1,A↔B token-sim=0.00 (> 0.00),Mismatch,INTEGRATED,Execution Environment Compatibility,RuntimeLevel,Technology,LLMAssisted,Mismatch,,,True
3,Error Handling Mismatch,error_handling,Loose,Pattern-graded requirement,"built-in diagnostics, stability checks in spectral space, flags for unphysical energy growth, numerical instabilities.","diagnostics for cfl stability, nans, spurious velocities, support for regular restart files, logging of failures in vertical mixing, surface boundary conditions.","error handling is inherited from component models nemo, ecwam, ifs , coupling infrastructure, includes checks on cfl stability, nans, flux consistency, restart capability.",Both A and B or AB canonical required.,Match,INTEGRATED,Error-Handling Compatibility,RuntimeLevel,Computational,LLMAssisted,Match,,,True
3,Execution Constraint Mismatch,execution_constraints,Loose,Pattern-graded requirement,"when coupled, fields must be interpolated from the wave grid e.g., 1.5° global to the ocean or atmospheric grid e.g., orca1 for nemo . care is required near coasts, ice edges where land-sea / ice masks differ.","when coupled to ecwam, ifs, ensure consistent coupling interval e.g., 3 h , grid remapping. wave-related fields must be applied at the top level, correctly averaged over its thickness to avoid over / under-mixing.","coupling interval must match dynamic response scales of upper-ocean mixing, wave evolution ~1-3 h . grid remapping needed between ecwam, nemo grids, careful treatment near coasts, ice-covered regions.",Loose requires at least one side (or AB) to declare this.,Match,INTEGRATED,Execution Ordering Compatibility,RuntimeLevel,Engineering,Deterministic,Match,Deterministic check: Loose requires at least one side (or AB) to declare this.,No adaptation required.,True
3,Execution Instruction Gap,execution_instructions,Loose,Require A or B,"configure spectral, spatial grids, physics options, boundary conditions. run with wind forcing e.g., ecmwf analyses or forecasts , grid configuration, time step settings. when coupled, ecwam is called from the coupler or atmospheric model with tight time stepping to provide sea surface roughness, wave-related fields.","configure via namelists domain, physics options, forcing files . compile nemo with appropriate cpp keys e.g., wave-related physics, lim2 . supply grid, bathymetry, forcing, initial condition files. for wave-aware runs, enable reading of ecwam wave fields or coupling interface, specify how they enter the surface boundary conditions.",,At least one side must provide.,Match,INTEGRATED,Execution Environment Compatibility,RuntimeLevel,Technology,LLMAssisted,Match,,,True
3,File Format Mismatch,file_formats,Loose,Presence required,,,,Neither provides metadata.,Missing,INTEGRATED,Data Format Compatibility,InformationLevel,Information,Deterministic,Gap,Deterministic check: Neither provides metadata.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
3,Hardware Resource Mismatch,hardware_specification_and_requirements,Loose,Pattern-graded similarity/equality,hpc or workstation global multi-decadal hindcasts typically on hpc,parallel hpc cluster for global multi-decadal runs,hpc cluster or high-end workstation for multi-decadal and / or high-resolution runs,A↔B token-sim=0.33 (> 0.00),Match,INTEGRATED,Execution Environment Compatibility,RuntimeLevel,Technology,LLMAssisted,Match,,,True
3,Implementation Verification Gap,implementation_verification (A),Loose,Presence required,"benchmarked against buoy, satellite observations, used operationally in ecmwf’s integrated forecasting system ifs , era-interim reanalysis.; standard diagnostics comparing significant wave height, mean period against buoys, altimeters, consistency checks on stress, tke flux magnitudes under typical wind speeds.",,,A provides metadata,Match,INTEGRATED,(auxiliary) Implementation Verification Gap / implementation_verification (A),RuntimeLevel,Technology,Deterministic,Match,Deterministic check: A provides metadata,No adaptation required.,False
3,Implementation Verification Gap,implementation_verification (B),Loose,Presence required,"reference configurations, test cases supplied with nemo, breivik et al. 2015 provide additional verification for wave-aware physics via multi-experiment comparison.; compared with observations, reanalyses en3, oi_v2 sst, oras4 . wave-aware runs show reduced sst, subsurface temperature biases, particularly in the extratropics.",,,B provides metadata,Match,INTEGRATED,(auxiliary) Implementation Verification Gap / implementation_verification (B),RuntimeLevel,Technology,Deterministic,Match,Deterministic check: B provides metadata,No adaptation required.,False
3,Landing Page Gap,landing_page (A),Loose,Presence required,"https, / / www.ecmwf.int / en / research / modelling-and-prediction / wave-model",,,A provides landing page,Match,INTEGRATED,(auxiliary) Landing Page Gap / landing_page (A),RuntimeLevel,Technology,Deterministic,Match,Deterministic check: A provides landing page,No adaptation required.,False
3,Landing Page Gap,landing_page (B),Loose,Presence required,"https, / / www.nemo-ocean.eu /",,,B provides landing page,Match,INTEGRATED,(auxiliary) Landing Page Gap / landing_page (B),RuntimeLevel,Technology,Deterministic,Match,Deterministic check: B provides landing page,No adaptation required.,False
3,Latency Expectation Mismatch,latency_expectations,Loose,Pattern-graded requirement,typically produces coupling fields at 1-3-hourly cadence.,typical field exchange hourly-3-hourly when used in ab configurations.,wave model outputs must be available at or before ocean model coupling time steps.,Loose requires at least one side (or AB) to declare this.,Match,INTEGRATED,Latency Compatibility,RuntimeLevel,Engineering,LLMAssisted,Match,,,True
3,License Incompatibility,license,Loose,Pattern-graded requirement,"ecmwf license non-commercial research use, subject to ecmwf data policy",cecill-c nemo core,,A↔B token-sim=0.00 (> 0.00),Mismatch,INTEGRATED,License Compatibility,RuntimeLevel,Technology,LLMAssisted,Mismatch,,,True
3,Operating Environment Mismatch,operating_system,Loose,Declared operating systems must overlap,,,,Operating system not declared on one or both sides.,Missing,INTEGRATED,Operating Environment Compatibility,RuntimeLevel,Technology,Deterministic,Gap,Deterministic check: Operating system not declared on one or both sides.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
3,Parallel Execution Incompatibility,parallel_execution,Loose,Pattern-graded requirement,true,true,true,Loose requires at least one side (or AB) to declare this.,Match,INTEGRATED,Execution Constraint Compatibility,RuntimeLevel,Engineering,LLMAssisted,Match,,,True
3,Programming Language Incompatibility,programming_language,Loose,Pattern-graded similarity/equality,fortran,fortran 90,fortran nemo core; fortran ecwam core,A↔B token-sim=0.50 (> 0.00),Match,INTEGRATED,Execution Environment Compatibility,RuntimeLevel,Technology,LLMAssisted,Match,,,True
