group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,constraint_template,constraint_category,rm_odp_viewpoint,evaluation_mode,verdict,explanation,adaptation,in_paper_appendix
10,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Embedded,Pattern-graded requirement,"cite oke et al. 2013 gmd, acknowledge csiro / bureau of meteorology when using ofam3 or derivative configurations.","when using wombat as embedded in ofam3, cite oke et al. 2013 gmd, acknowledge csiro / bom, consult institutional agreements for redistribution.",,"Embedded requires A, B, and AB to declare this.",Missing,INTENDED,Synchronization Compatibility,RuntimeLevel,Engineering,LLMAssisted,Gap,,,True
10,Communication Mechanism Mismatch,communication_mechanism,Embedded,Pattern-graded requirement,,,,"Embedded requires A, B, and AB to declare mechanism.",Missing,INTENDED,Interface Compatibility,RuntimeLevel,Computational,LLMAssisted,Gap,,,True
10,Conceptual Quality Gap,Authors’ Unique Identifier,Embedded,Pattern-agnostic,,,,Neither provides metadata.,Missing,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Gap,,,True
10,Conceptual Quality Gap,Calibration Tools/Data,Embedded,Pattern-agnostic,"era-interim atmospheric forcing, climatological temperature, salinity, observed large-scale transports acc, boundary currents , satellite altimetry sea level anomaly, satellite / reanalysis sst for surface restoring, evaluation.","iron deposition climatologies, nutrient, oxygen climatologies, observed co₂ flux products, satellite chlorophyll-a e.g., seawifs used for tuning, evaluation as documented in oke et al. 2013.",,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
10,Conceptual Quality Gap,Conceptual Model Evaluation,Embedded,Pattern-agnostic,"demonstrated skill for large-scale circulation, mesoscale eddies, enso indices, upper-ocean structure when evaluated against satellite sst, sla, in situ transports, mixed layer depth climatologies.","evaluated in oke et al. 2013 against observed chlorophyll-a, nutrient distributions, co₂ fluxes, oxygen-related metrics when embedded in the ofam3 circulation model.",,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
10,Conceptual Quality Gap,Links to Publications & Reports,Embedded,Pattern-agnostic,"oke et al., 2013, geosci. model dev., 6, 591-615","oke et al., 2013, geosci. model dev., 6, 591-615",,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
10,Conceptual Quality Gap,Sensitivity Analysis,Embedded,Pattern-agnostic,"sensitivity tested for vertical mixing schemes, restoring timescales, details of atmospheric forcing, freshwater balance.","sensitivity to nutrient limitation, light availability, other key rate parameters can be explored via alternative wombat namelist settings.",,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
10,Conceptual Quality Gap,Uncertainty Analysis,Embedded,Pattern-agnostic,"scenario-based hindcasts, comparisons against multiple observational datasets, uncertainty explored via forcing choices, parameter perturbation experiments.","uncertainty arises from parameterizations, forcing, ensemble, scenario runs can be used to probe biogeochemical response to physical, chemical drivers.",,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
10,Conceptual Quality Gap,Validation Capabilities,Embedded,Pattern-agnostic,"yes — validated extensively against observed sst, sla, mld, large-scale transports, variability indices using the configuration documented in oke et al. 2013.","yes — supports validation of global / near-global chlorophyll patterns, carbon cycle estimates, regional nutrient / oxygen profiles against observations.",,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
10,Data Schema Mismatch,(A or B).input vs AB.input,Embedded,(A or B).input ↔ AB.input (similarity>0),A.in:surface_heat_fluxes; surface_freshwater_fluxes; surface_momentum_fluxes; 10m_wind_speed; 2m_air_temperature; 2m_specific_humidity; downward_longwave_radiation; precipitation_rate; restoring_sst_climatology; restoring_sss_climatology; 3-hourly era-interim surface heat; freshwater; momentum fluxes plus monthly climatological sst; sss fields used for surface restoring; when coupled; also receives atmospheric co₂; other fields required by embedded wombat.; surface heat; momentum fluxes 3-hourly 1.5° fields; satellite altimetry for sla validation; mean sea level reference | B.in:temperature_profile; salinity_profile; 3d_velocity_field; mixed_layer_depth; external_nutrient_forcing; atmospheric_co2_properties; receives the evolving 3d physical fields; external forcing terms nutrient deposition; atmospheric co₂ from ofam3 at each timestep via embedded calls.; chlorophyll-a products for large-scale validation; dust / iron forcing fields for nutrient limitation experiments,,(none),max=0.00 | missing: AB.input,Missing,INTENDED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Gap,,,True
10,Data Schema Mismatch,(A or B).output vs AB.output,Embedded,(A or B).output ↔ AB.output (similarity>0),A.out:sea level; 3d temperature; salinity; currents; mixed layer depth; large-scale transports; enso indices; when wombat is enabled chlorophyll-a; other tracers. | B.out:nutrient concentrations; phytoplankton; zooplankton biomass; detritus; chlorophyll-a; oxygen; carbon-cycle flux diagnostics written via the host ofam3 i / o system.,,(none),max=0.00 | missing: AB.output,Missing,INTENDED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Gap,,,True
10,Data Schema Mismatch,Direction (any),Embedded,A.output ↔ B.input OR B.output ↔ A.input (≥1),A.out:sea level; 3d temperature; salinity; currents; mixed layer depth; large-scale transports; enso indices; when wombat is enabled chlorophyll-a; other tracers.,B.out:nutrient concentrations; phytoplankton; zooplankton biomass; detritus; chlorophyll-a; oxygen; carbon-cycle flux diagnostics written via the host ofam3 i / o system.,,A2B:✓; B2A:×,Match,INTENDED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Match,,,True
10,Data Synchronization,data_synchronization,Embedded,Pattern-graded requirement,"internal state synchronized across mpi ranks by mom4p1, history, restart netcdf files written at scheduled intervals for analysis, continuation runs.","in-memory, synchronous updates each timestep, tracer fields are advected, updated within the host’s integration cycle, captured in shared netcdf restart, history files.",,"Embedded requires A, B, and AB synchronization metadata.",Missing,INTENDED,Synchronization Compatibility,RuntimeLevel,Engineering,LLMAssisted,Gap,,,True
