group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind
4,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Loose,Pattern-graded requirement,,,,Loose requires at least one side (or AB) to declare this.,Missing,INTEGRATED
4,Communication Mechanism Mismatch,communication_mechanism,Loose,Pattern-graded requirement,,,,Both sides or AB canonical interface required.,Missing,INTEGRATED
4,Conceptual Quality Gap,Authors’ Unique Identifier,Loose,Pattern-agnostic,"vincent vincenot; model design, implementation","vincent vincenot; http, / / orcid.org / 0000-0002-2386-1626; model development",,Both provide metadata.,Match,INTEGRATED
4,Conceptual Quality Gap,Calibration Tools/Data,Loose,Pattern-agnostic,"tested via controlled simulation experiments, not calibrated to real species",pattern-based calibration to match known vegetation-soil patterns,,Both provide metadata.,Match,INTEGRATED
4,Conceptual Quality Gap,Conceptual Model Evaluation,Loose,Pattern-agnostic,"based on ecological theory of local competition, individual behavior",validated via emergent pattern reproduction,,Both provide metadata.,Match,INTEGRATED
4,Conceptual Quality Gap,Links to Publications & Reports,Loose,Pattern-agnostic,"vincenot et al., 2017","vincenot et al., 2017",,Both provide metadata.,Match,INTEGRATED
4,Conceptual Quality Gap,Sensitivity Analysis,Loose,Pattern-agnostic,parametric sensitivity analysis conducted,"feedback strength, decay rate varied",,Both provide metadata.,Match,INTEGRATED
4,Conceptual Quality Gap,Uncertainty Analysis,Loose,Pattern-agnostic,scenario-based exploration,scenario-based,,Both provide metadata.,Match,INTEGRATED
4,Conceptual Quality Gap,Validation Capabilities,Loose,Pattern-agnostic,"verified against theoretical expectations e.g., coexistence, clustering","no empirical soil chemistry, patterns match theory",,Both provide metadata.,Match,INTEGRATED
4,Data Schema Mismatch,(A or B).input vs AB.input,Loose,(A or B).input ↔ AB.input (similarity>0),A.in:soil_toxicity_per_cell; feedback_modified_germination_prob; environmental conditions from soilfeedback model affecting each grid cell; provides soil toxicity state per cell used to modulate germination; growth | B.in:plant_biomass_per_cell; plant_density_per_cell; species_identity_per_cell; annual plant biomass; density maps from ibm; provides plant biomass / density maps for toxicity updates,,(none),max=0.00 | missing: AB.input,Missing,INTEGRATED
4,Data Schema Mismatch,(A or B).output vs AB.output,Loose,(A or B).output ↔ AB.output (similarity>0),A.out:plant_biomass_per_cell; plant_density_per_cell; species_identity_per_cell | B.out:soil_toxicity_per_cell; modified_germination_prob_per_cell,,plant population; soil memory state; patch patterns,max=0.13,Match,INTEGRATED
4,Data Schema Mismatch,A.output,Loose,A.output ↔ B.input (≥1),plant_biomass_per_cell; plant_density_per_cell; species_identity_per_cell,plant_biomass_per_cell; plant_density_per_cell; species_identity_per_cell; annual plant biomass; density maps from ibm; provides plant biomass / density maps for toxicity updates,,plant_biomass_per_cell ↔ plant_biomass_per_cell (1.00); plant_density_per_cell ↔ plant_density_per_cell (1.00); species_identity_per_cell ↔ species_identity_per_cell (1.00),Match,INTEGRATED
