group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind
6,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Embedded,Pattern-graded requirement,,,,"Embedded requires A, B, and AB to declare this.",Missing,INTENDED
6,Communication Mechanism Mismatch,communication_mechanism,Embedded,Pattern-graded requirement,,,,"Embedded requires A, B, and AB to declare mechanism.",Missing,INTENDED
6,Data Schema Mismatch,(A or B).input vs AB.input,Embedded,(A or B).input ↔ AB.input (similarity>0),A.in:lake_skin_temperature; lake_ice_fraction; lake_ice_thickness; lake_surface_albedo; surface_roughness_length_water; upward_sensible_heat_flux; upward_latent_heat_flux; upward_longwave_radiation; reflected_shortwave_radiation; surface_evaporation_rate; lake_snow_depth; surface state; fluxes computed by the embedded lake column at water grid cells b → a; in-memory .; embedded lake column providing lower-boundary state; fluxes over water points | B.in:air_temperature_2m; specific_humidity_2m; wind_speed_10m; wind_u10; wind_v10; surface_pressure; downwelling_shortwave_radiation; downwelling_longwave_radiation; precipitation_rain_rate; precipitation_snow_rate; near_surface_air_density; reference_height_wind; near-surface meteorology; radiative forcing from wrf a → b; in-memory .; host atmosphere providing meteorology; radiation to the lake column,,(none),max=0.00 | missing: AB.input,Missing,INTENDED
6,Data Schema Mismatch,(A or B).output vs AB.output,Embedded,(A or B).output ↔ AB.output (similarity>0),A.out:air_temperature_2m; specific_humidity_2m; wind_speed_10m; wind_u10; wind_v10; surface_pressure; downwelling_shortwave_radiation; downwelling_longwave_radiation; precipitation_rain_rate; precipitation_snow_rate; near_surface_air_density; reference_height_wind | B.out:lake_skin_temperature; lake_ice_fraction; lake_ice_thickness; lake_surface_albedo; surface_roughness_length_water; upward_sensible_heat_flux; upward_latent_heat_flux; upward_longwave_radiation; reflected_shortwave_radiation; surface_evaporation_rate; lake_snow_depth,,(none),max=0.00 | missing: AB.output,Missing,INTENDED
6,Data Synchronization,data_synchronization,Embedded,Pattern-graded requirement,"two-way, every physics step in-memory field exchange",two-way in-memory exchange every physics step,two-way in-memory exchange each coupling step,Embedded expects explicit synchronous/lockstep cues.,Mismatch,INTENDED
6,Dimensionality Mismatch,dimensionality,Embedded,Common exchanged variables align semantically,3d,1d vertical,,A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTENDED
6,Distribution Version Mismatch,distribution_version,Embedded,Exact equality required,3.6+,embedded with wrf v3.6+,,Not equal.,Mismatch,INTENDED
6,Error Handling Mismatch,error_handling,Embedded,Pattern-graded requirement,"numerical stability checks, restart files","state / energy checks, non-negative thickness constraints",,"Embedded requires A, B, and AB error handling.",Missing,INTENDED
6,File Format Mismatch,file_formats,Embedded,Presence required,,,,Neither provides metadata.,Missing,INTENDED
6,Hardware Resource Mismatch,hardware_specification_and_requirements,Embedded,Exact equality required,hpc / cluster,same as host wrf,,Not equal.,Mismatch,INTENDED
6,Landing Page Gap,landing_page (B),Embedded,Presence required,,,,B provides landing page,Missing,INTENDED
6,Latency Expectation Mismatch,latency_expectations,Embedded,Pattern-graded requirement,,,,"Embedded requires A, B, and AB to declare this.",Missing,INTENDED
6,License Incompatibility,license,Embedded,Pattern-graded requirement,wrf open-source varies by components,inherited from wrf / clm components,,Exact equality required at Embedded.,Mismatch,INTENDED
6,Parallel Execution Incompatibility,parallel_execution,Embedded,Pattern-graded requirement,true,"yes per grid cell , via host domain decomposition",,"Embedded requires A, B, and AB to declare this.",Missing,INTENDED
6,Programming Language Incompatibility,programming_language,Embedded,Exact equality required,fortran; c,fortran,,Not equal.,Mismatch,INTENDED
6,Semantic Mismatch,Assumptions,Embedded,Coverage threshold ≥ 0.50,hydrostatic or nonhydrostatic per configuration; terrain-following vertical coordinate; lake surface represented by an embedded 1-d water / ice / snow column,"horizontally homogeneous lake column per grid cell 1-d; eddy diffusivity parameterized, enhanced mixing options for deep lakes; dynamic surface albedo with ice / snow processes","atmospheric model provides near-surface meteorological, radiative forcing to lake; lake model returns surface state variables, fluxes for atmospheric lower boundary; compatible time step, spatial grid over lake grid points; energy, mass are conserved at the interface","A→AB:0.04 (covered: lake) | B→AB:0.09 (covered: grid, lake) | A∪B→AB:0.09 (covered: grid, lake) | uncovered_AB: are, atmospheric, boundary, compatible, conserved, energy, forcing, interface, lower, mass, meteorological, near, over, points, provides, radiative, returns, spatial, state, step, time",Mismatch,INTENDED
6,Semantic Mismatch,Description,Embedded,Coverage threshold ≥ 0.50,"nonhydrostatic regional atmospheric model providing near-surface meteorology, radiation to the embedded 1-d lake scheme, ingesting its surface state, fluxes for the atmospheric lower boundary.; surface state, fluxes computed by the embedded lake column at water grid cells b → a, in-memory .; embedded lake column providing lower-boundary state, fluxes over water points","a 1-d thermal diffusion lake column with layered water, ice, snow, sediment, computes lake surface temperature, ice / snow evolution, air-lake fluxes in response to wrf near-surface meteorology, radiation.; near-surface meteorology, radiative forcing from wrf a → b, in-memory .; host atmosphere providing meteorology, radiation to the lake column","a conceptual integration plan for embedding a one-dimensional lake model within a regional atmospheric model. the intended goal is to represent two-way interactions between lake surfaces, the overlying atmosphere, including heat, moisture, momentum exchanges, as well as seasonal ice / snow cover on lakes. model components are not yet selected.; expected input such as 2-m air temperature, humidity, wind speed, precipitation, radiative fluxes from the atmospheric model","A→AB:0.07 (covered: atmospheric, lake, regional) | B→AB:0.15 (covered: air, atmosphere, lake, radiative, snow, temperature) | A∪B→AB:0.20 (covered: air, atmosphere, atmospheric, lake, radiative, regional, snow, temperature) | uncovered_AB: are, between, conceptual, cover, dimensional, embedding, goal, heat, humidity, including, integration, interactions, is, lakes, moisture, momentum, not, one, overlying, plan, precipitation, represent, seasonal, selected, speed, such, surfaces, two, way, well, wind, within, yet",Mismatch,INTENDED
