group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,constraint_template,constraint_category,rm_odp_viewpoint,evaluation_mode,verdict,explanation,adaptation,in_paper_appendix
7,Communication Mechanism Mismatch,communication_mechanism,Integrated,Pattern-graded requirement,,,,Integrated requires both sides to declare mechanism.,Missing,INTENDED,Interface Compatibility,RuntimeLevel,Computational,LLMAssisted,Gap,,,True
7,Data Schema Mismatch,(A or B).input vs AB.input,Integrated,(A or B).input ↔ AB.input (similarity>0),A.in:meteorological forcing wind; air temperature; humidity; radiation; initial temperature; salinity profiles; bio-optical feedback kd_bio; heat flux feedback q_bio; surface albedo / wind-drag modifiers; meteorological forcing; boundary conditions; initial hydrodynamic state; additionally receives ecological feedback variables from fabm submodels. | B.in:temperature profile; turbulent mixing coefficients kz; scalar irradiance / par; salinity profile where relevant; physical; chemical drivers provided by gotm or another fabm-enabled host via in-memory fabm api.; physical hydrodynamic; optical drivers from gotm via fabm api.,,(none),max=0.00 | missing: AB.input,Missing,INTENDED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Gap,,,True
7,Distribution Version Mismatch,distribution_version,Integrated,Exact equality required,5.0,2023.1,1.0,Not equal.,Mismatch,INTENDED,Execution Environment Compatibility,RuntimeLevel,Technology,LLMAssisted,Mismatch,,,True
7,File Format Mismatch,file_formats,Integrated,Pattern-graded similarity/equality,netcdf; txt,netcdf; csv,netcdf; csv,"A↔B=0.33 (> 0.50), A↔AB=0.33 & B↔AB=1.00 (> 0.25)",Mismatch,INTENDED,Data Format Compatibility,InformationLevel,Information,Deterministic,Mismatch,"Deterministic check: A↔B=0.33 (> 0.50), A↔AB=0.33 & B↔AB=1.00 (> 0.25)",Introduce a file-format transformation step between the two models.,True
7,Latency Expectation Mismatch,latency_expectations,Integrated,Pattern-graded requirement,"low latency, in-memory, real-time exchange each time step.",,,Integrated requires A and B to declare this.,Missing,INTENDED,Latency Compatibility,RuntimeLevel,Engineering,LLMAssisted,Gap,,,True
7,Operating Environment Mismatch,operating_system,Integrated,Declared operating systems must overlap,,,,Operating system not declared on one or both sides.,Missing,INTENDED,Operating Environment Compatibility,RuntimeLevel,Technology,Deterministic,Gap,Deterministic check: Operating system not declared on one or both sides.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
7,Programming Language Incompatibility,programming_language,Integrated,Pattern-graded similarity/equality,fortran,fortran; c++,fortran,"A↔B=0.50 (> 0.50), A↔AB=1.00 & B↔AB=0.50 (> 0.25)",Mismatch,INTENDED,Execution Environment Compatibility,RuntimeLevel,Technology,LLMAssisted,Mismatch,,,True
7,Semantic Mismatch,Assumptions,Integrated,Coverage threshold ≥ 0.50,"horizontal homogeneity 1d vertical column .; turbulence forced by wind, buoyancy, bottom shear.; vertical mixing represented by turbulence closure schemes.; ecological feedbacks are applied as additional source / sink terms.","ecology responds to physical drivers light, mixing, temperature supplied by the host model.; trophic groups, sediments are represented mechanistically without horizontal heterogeneity.; vertical column shares grid, timestep with the host hydrodynamic model.; feedbacks light attenuation, heat production, drag modifications are aggregated at the grid-cell scale.","vertical structure dominates system behavior 1d column .; hydrodynamic conditions mixing, temperature, light control ecological processes.; gotm, pclake+ share the same vertical grid, timestep via fabm.; ecological feedbacks modify light climate, surface fluxes but do not alter external forcing.","A→AB:0.18 (covered: 1d, column, ecological, feedbacks, mixing, vertical) | B→AB:0.26 (covered: column, feedbacks, grid, hydrodynamic, light, mixing, temperature, timestep, vertical) | A∪B→AB:0.32 (covered: 1d, column, ecological, feedbacks, grid, hydrodynamic, light, mixing, temperature, timestep, vertical) | uncovered_AB: alter, behavior, but, climate, conditions, control, do, dominates, external, fabm, forcing, gotm, modify, not, pclake, pclake+, pclakeplus, processes, same, share, structure, system, via",Mismatch,INTENDED,Assumption Compatibility,PatternAgnostic,Domain,LLMAssisted,Mismatch,,,True
7,Semantic Mismatch,Model Version,Integrated,A or B must equal AB exactly,5.0,2023.1; 5.0,1.0,A==AB:×; B==AB:×,Mismatch,INTENDED,(auxiliary) Semantic Mismatch / Model Version,PatternAgnostic,Domain,Deterministic,Mismatch,Deterministic check: A==AB:×; B==AB:×,Introduce an explicit mediation/adaptation step to resolve this incompatibility before integration.,False
7,Source Code Availability Gap,availability_of_source_code (A),Integrated,Presence required,,,,A provides metadata,Missing,INTENDED,(auxiliary) Source Code Availability Gap / availability_of_source_code (A),RuntimeLevel,Technology,Deterministic,Gap,Deterministic check: A provides metadata,Provide the missing metadata field(s) for both models before this constraint can be assessed.,False
7,Source Code Availability Gap,availability_of_source_code (B),Integrated,Presence required,,,,B provides metadata,Missing,INTENDED,(auxiliary) Source Code Availability Gap / availability_of_source_code (B),RuntimeLevel,Technology,Deterministic,Gap,Deterministic check: B provides metadata,Provide the missing metadata field(s) for both models before this constraint can be assessed.,False
7,Unit Mismatch,B.output(bio-optical properties kd_bio) -> A.input(bio-optical feedback kd_bio),Integrated,Both sides must declare a unit for the exchanged variable,,,,Unit not declared on one or both sides.,Missing,INTENDED,Unit Compatibility,InformationLevel,Information,Deterministic,Gap,Deterministic check: Unit not declared on one or both sides.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
