group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind
8,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Loose,Pattern-graded requirement,,,,Loose requires at least one side (or AB) to declare this.,Missing,INTENDED
8,Communication Mechanism Mismatch,communication_mechanism,Loose,Pattern-graded requirement,,,,Both sides or AB canonical interface required.,Missing,INTENDED
8,Data Schema Mismatch,(A or B).input vs AB.input,Loose,(A or B).input ↔ AB.input (similarity>0),A.in:bathymetry; initial t / s fields; surface forcing winds; heat; freshwater flux; initial; boundary conditions for ocean state variables; optionally; biogeochemical feedback fields from planktom10.; biogeochemical feedbacks influencing physical light climate or fluxes | B.in:temperature t; salinity s; 3d velocities u; v; w; mixed layer depth mld; shortwave radiation at depth; sea ice cover / thickness; physical ocean state variables from nemo; physical drivers for biogeochemistry,,(none),max=0.00 | missing: AB.input,Missing,INTENDED
8,Data Schema Mismatch,(A or B).output vs AB.output,Loose,(A or B).output ↔ AB.output (similarity>0),A.out:temperature t; salinity s; 3d velocities u; v; w; mixed layer depth mld; sea ice cover / thickness; shortwave radiation at depth | B.out:dms concentration; plankton functional type biomass; nutrient fields nitrate; phosphate; silicate; air-sea dms flux; light attenuation coefficient kd_bio; bio-induced heat absorption profile qbio; surface albedo modifier from biological activity,,(none),max=0.00 | missing: AB.output,Missing,INTENDED
8,Distribution Version Mismatch,distribution_version,Loose,Pattern-graded similarity/equality,v3.3,2010,,A↔B token-sim=0.00 (> 0.00),Mismatch,INTENDED
8,File Format Mismatch,file_formats,Loose,Presence required,,,,Neither provides metadata.,Missing,INTENDED
8,Hardware Resource Mismatch,hardware_specification_and_requirements,Loose,Pattern-graded similarity/equality,hpc system,same as nemo,,A↔B token-sim=0.00 (> 0.00),Mismatch,INTENDED
8,Latency Expectation Mismatch,latency_expectations,Loose,Pattern-graded requirement,,,,Loose requires at least one side (or AB) to declare this.,Missing,INTENDED
8,Semantic Mismatch,Assumptions,Loose,Coverage vs AB,"hydrostatic, boussinesq approximations; finite-difference discretization; fixed bathymetry","stoichiometric phytoplankton growth; temperature, light-dependent production rates; multiple plankton functional types",,AB value missing.,Missing,INTENDED
8,Semantic Mismatch,Description,Loose,Coverage threshold ≥ 0.50,"a 3d ocean general circulation model simulating currents, mixing, sea ice, thermohaline structures, surface fluxes, providing the physical environment for biogeochemical modules such as planktom10.; initial, boundary conditions for ocean state variables, optionally, biogeochemical feedback fields from planktom10.; biogeochemical feedbacks influencing physical light climate or fluxes","a 3d marine biogeochemical model simulating plankton dynamics, nutrient cycles, dimethylsulphide dms production, coupled online with nemo to use its physical state variables.; physical ocean state variables from nemo; physical drivers for biogeochemistry","placeholder metadata for a modular integrated ocean model combining a general circulation model like nemo with a biogeochemical model for simulating carbon, nutrients, or sulfur cycles.","A→AB:0.27 (covered: biogeochemical, circulation, general, simulating) | B→AB:0.27 (covered: biogeochemical, cycles, nemo, simulating) | A∪B→AB:0.40 (covered: biogeochemical, circulation, cycles, general, nemo, simulating) | uncovered_AB: carbon, combining, integrated, like, metadata, modular, nutrients, placeholder, sulfur",Mismatch,INTENDED
8,Semantic Mismatch,Keywords,Loose,Coverage threshold ≥ 0.50,ocean circulation; hydrodynamics; sea ice; nemo; climate modeling,biogeochemistry; dimethylsulphide; plankton; marine ecosystem; carbon cycle,ocean modeling; biogeochemical modeling; modular coupling; earth system modeling,"A→AB:0.17 (covered: modeling) | B→AB:0.00 (covered: —) | A∪B→AB:0.17 (covered: modeling) | uncovered_AB: biogeochemical, coupling, earth, modular, system",Mismatch,INTENDED
8,Semantic Mismatch,Model Type,Loose,Coverage vs AB,mechanistic,mechanistic,,AB value missing.,Missing,INTENDED
8,Semantic Mismatch,Model Version,Loose,Coverage vs AB,v3.3; 2010,2010; v3.3,,AB value missing.,Missing,INTENDED
8,Semantic Mismatch,Purpose & Pattern,Loose,Coverage threshold ≥ 0.50,"simulate physical ocean properties, dynamics; 3d structured grid, hydrostatic approximation",simulate ocean biogeochemical processes including dms production; online coupled to physical ocean model,"evaluate impact of ocean physics on marine ecosystems, chemical cycles; online or offline coupled system; loose coupling","A→AB:0.00 (covered: —) | B→AB:0.08 (covered: online) | A∪B→AB:0.08 (covered: online) | uncovered_AB: chemical, coupling, cycles, ecosystems, evaluate, impact, loose, marine, offline, physics, system",Mismatch,INTENDED
8,Semantic Mismatch,Scope,Loose,Coverage vs AB,"global, regional ocean domains",global marine ecosystems,,AB value missing.,Missing,INTENDED
8,Software Environment Mismatch,software_specification_and_requirements,Loose,Pattern-graded similarity/equality,"netcdf, mpi, fortran compiler",runs within nemo framework,,A↔B token-sim=0.00 (> 0.00),Mismatch,INTENDED
8,Source Code Availability Gap,availability_of_source_code (A),Loose,Presence required,,,,A provides metadata,Missing,INTENDED
8,Spatial Coverage Mismatch,spatial_extent_coverage,Loose,Common exchanged variables align semantically,global ocean,ocean water column,,A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTENDED
8,Spatial Resolution Mismatch,spatial_resolution,Loose,Common exchanged variables align semantically,1 / 2° to 1 / 12°,same as host model nemo,,A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTENDED
8,Temporal Coverage Mismatch,temporal_extent_coverage,Loose,Common exchanged variables align semantically,multi-decadal,multi-year,,A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTENDED
