group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,constraint_template,constraint_category,rm_odp_viewpoint,evaluation_mode,verdict,explanation,adaptation,in_paper_appendix
8,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Loose,Pattern-graded requirement,,,,Loose requires at least one side (or AB) to declare this.,Missing,INTEGRATED,Synchronization Compatibility,RuntimeLevel,Engineering,LLMAssisted,Gap,,,True
8,Communication Mechanism Mismatch,communication_mechanism,Loose,Pattern-graded requirement,,,,Both sides or AB canonical interface required.,Missing,INTEGRATED,Interface Compatibility,RuntimeLevel,Computational,LLMAssisted,Gap,,,True
8,Data Schema Mismatch,B.output,Loose,B.output ↔ A.input (≥1),dms_concentration; plankton_functional_types; nutrient_fields; air_sea_dms_flux; kd_bio; qbio; albedo_modifier,bathymetry; initial_temperature; initial_salinity; surface_forcing_fields; biological_optical_feedback; gas_exchange_modifiers; initial; boundary conditions for the physical ocean state. optionally receives biological optical feedbacks from planktom10.; biogeochemical feedback influencing optics or air-sea fluxes,,,Mismatch,INTEGRATED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Mismatch,,,True
8,Distribution Version Mismatch,distribution_version,Loose,Presence required,v3.3,,,Only one side provides metadata.,Missing,INTEGRATED,Execution Environment Compatibility,RuntimeLevel,Technology,LLMAssisted,Gap,,,True
8,File Format Mismatch,file_formats,Loose,Presence required,,,,Neither provides metadata.,Missing,INTEGRATED,Data Format Compatibility,InformationLevel,Information,Deterministic,Gap,Deterministic check: Neither provides metadata.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
8,Landing Page Gap,landing_page (A),Loose,Presence required,,,,A provides landing page,Missing,INTEGRATED,(auxiliary) Landing Page Gap / landing_page (A),RuntimeLevel,Technology,Deterministic,Gap,Deterministic check: A provides landing page,Provide the missing metadata field(s) for both models before this constraint can be assessed.,False
8,Latency Expectation Mismatch,latency_expectations,Loose,Pattern-graded requirement,,,,Loose requires at least one side (or AB) to declare this.,Missing,INTEGRATED,Latency Compatibility,RuntimeLevel,Engineering,LLMAssisted,Gap,,,True
8,Operating Environment Mismatch,operating_system,Loose,Declared operating systems must overlap,,,,Operating system not declared on one or both sides.,Missing,INTEGRATED,Operating Environment Compatibility,RuntimeLevel,Technology,Deterministic,Gap,Deterministic check: Operating system not declared on one or both sides.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
8,Semantic Mismatch,Assumptions,Loose,Coverage threshold ≥ 0.50,hydrostatic approximation; boussinesq approximation; finite-difference discretization; time-split barotropic / baroclinic modes,"stoichiometric phytoplankton growth; light-, temperature-dependent dms production; multiple plankton functional groups","dynamic tracer exchange each timestep; plankton processes depend on light, temperature; dms emissions affect surface fluxes optional feedback","A→AB:0.00 (covered: —) | B→AB:0.29 (covered: dms, light, plankton, temperature) | A∪B→AB:0.29 (covered: dms, light, plankton, temperature) | uncovered_AB: affect, depend, dynamic, each, emissions, feedback, optional, processes, timestep, tracer",Mismatch,INTEGRATED,Assumption Compatibility,PatternAgnostic,Domain,LLMAssisted,Mismatch,,,True
8,Semantic Mismatch,Model Version,Loose,A or B must equal AB exactly,v3.3; 2010,2010; v3.3,v3.3,A==AB:×; B==AB:×,Mismatch,INTEGRATED,(auxiliary) Semantic Mismatch / Model Version,PatternAgnostic,Domain,Deterministic,Mismatch,Deterministic check: A==AB:×; B==AB:×,Introduce an explicit mediation/adaptation step to resolve this incompatibility before integration.,False
8,Software Environment Mismatch,software_specification_and_requirements,Loose,Presence required,,,,Neither provides metadata.,Missing,INTEGRATED,Execution Environment Compatibility,RuntimeLevel,Technology,LLMAssisted,Gap,,,True
8,Source Code Availability Gap,availability_of_source_code (A),Loose,Presence required,,,,A provides metadata,Missing,INTEGRATED,(auxiliary) Source Code Availability Gap / availability_of_source_code (A),RuntimeLevel,Technology,Deterministic,Gap,Deterministic check: A provides metadata,Provide the missing metadata field(s) for both models before this constraint can be assessed.,False
8,Spatial Coverage Mismatch,spatial_extent_coverage,Loose,Common exchanged variables align semantically (or a declared conversion bridges them),global ocean,ocean water column,global ocean,A<->B token-sim=0.00 (not aligned) and no resampling/conversion policy is declared.,Mismatch,INTEGRATED,(auxiliary) Spatial Coverage Mismatch / spatial_extent_coverage,RuntimeLevel,Information,Deterministic,Mismatch,Deterministic check: A<->B token-sim=0.00 (not aligned) and no resampling/conversion policy is declared.,Introduce an explicit mediation/adaptation step to resolve this incompatibility before integration.,False
8,Spatial Resolution Mismatch,spatial_resolution,Loose,Common exchanged variables align semantically (or a declared conversion bridges them),1 / 2° to 1 / 12°,matches nemo grid,shared nemo grid,A<->B token-sim=0.00 (not aligned) and no resampling/conversion policy is declared.,Mismatch,INTEGRATED,Spatial Resolution Compatibility,InformationLevel,Information,Deterministic,Mismatch,Deterministic check: A<->B token-sim=0.00 (not aligned) and no resampling/conversion policy is declared.,Regrid/aggregate the exchanged variable to the spatial resolution required by the receiving model.,True
8,Temporal Coverage Mismatch,temporal_extent_coverage,Loose,Common exchanged variables align semantically (or a declared conversion bridges them),multi-decadal,multi-year,multi-year,A<->B token-sim=0.00 (not aligned) and no resampling/conversion policy is declared.,Mismatch,INTEGRATED,(auxiliary) Temporal Coverage Mismatch / temporal_extent_coverage,RuntimeLevel,Information,Deterministic,Mismatch,Deterministic check: A<->B token-sim=0.00 (not aligned) and no resampling/conversion policy is declared.,Introduce an explicit mediation/adaptation step to resolve this incompatibility before integration.,False
8,Unit Mismatch,A.output(salinity) -> B.input(salinity),Loose,Both sides must declare a unit for the exchanged variable,PSU,,,Unit not declared on one or both sides.,Missing,INTEGRATED,Unit Compatibility,InformationLevel,Information,Deterministic,Gap,Deterministic check: Unit not declared on one or both sides.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
8,Unit Mismatch,A.output(shortwave_radiation_at_depth) -> B.input(shortwave_radiation_at_depth),Loose,Both sides must declare a unit for the exchanged variable,,,,Unit not declared on one or both sides.,Missing,INTEGRATED,Unit Compatibility,InformationLevel,Information,Deterministic,Gap,Deterministic check: Unit not declared on one or both sides.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
8,Unit Mismatch,A.output(temperature) -> B.input(temperature),Loose,Units must be equal or known-equivalent,°C,various,,'°C' != 'various' and not in a known-equivalent class; conversion required.,Mismatch,INTEGRATED,Unit Compatibility,InformationLevel,Information,Deterministic,Mismatch,Deterministic check: '°C' != 'various' and not in a known-equivalent class; conversion required.,Apply a unit conversion between the declared source and target units before data exchange.,True
