group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind
7,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Integrated,Pattern-graded requirement,,,,Integrated requires A and B to declare this.,Missing,INTEGRATED
7,Communication Mechanism Mismatch,communication_mechanism,Integrated,Pattern-graded requirement,,,,Integrated requires both sides to declare mechanism.,Missing,INTEGRATED
7,Data Schema Mismatch,(A or B).input vs AB.input,Integrated,(A or B).input ↔ AB.input (similarity>0),A.in:meteorological forcing wind; air temperature; radiation; initial temperature; salinity profiles; heat flux feedback q_bio; surface albedo / wind-drag modifiers; meteorological forcing; initial hydrodynamic conditions; additionally receives ecological feedback variables from fabm submodels. | B.in:temperature profile t; turbulent mixing coefficients kz; scalar irradiance / par; salinity profile if relevant; physical; chemical drivers provided by gotm via fabm interface; physical hydrodynamic; optical drivers from gotm,,(none),max=0.00 | missing: AB.input,Missing,INTEGRATED
7,Data Synchronization,data_synchronization,Integrated,Pattern-graded requirement,"two-way, provides physical drivers, receives ecological feedbacks","receives gotm drivers, returns bio-feedbacks to gotm",managed internally by fabm kernel,Integrated expects explicit synchronous/lockstep cues.,Mismatch,INTEGRATED
7,Distribution Version Mismatch,distribution_version,Integrated,Exact equality required,5.0,2023.1,1.0,Not equal.,Mismatch,INTEGRATED
7,Error Handling Mismatch,error_handling,Integrated,Pattern-graded requirement,"error trapping, timestep control","input checking, diagnostics via fabm","handled through fabm coupling checks, gotm time controls","A↔AB=0.00, B↔AB=0.09 (>0 required if AB exists)",Mismatch,INTEGRATED
7,Execution Constraint Mismatch,execution_constraints,Integrated,Pattern-graded requirement,"time step, vertical grid synchronized with fabm plugins","time step, grid must match gotm, physical drivers updated each coupling step","synchronized timestep, shared grid",Integrated expects explicit sync/latency cues.,Mismatch,INTEGRATED
7,File Format Mismatch,file_formats,Integrated,Presence required,,,,Neither provides metadata.,Missing,INTEGRATED
7,Latency Expectation Mismatch,latency_expectations,Integrated,Pattern-graded requirement,online synchronous exchange each time step,,synchronous coupling,Integrated requires A and B to declare this.,Missing,INTEGRATED
7,Programming Language Incompatibility,programming_language,Integrated,Pattern-graded similarity/equality,fortran,fortran; c++,fortran,"A↔B=0.50 (> 0.50), A↔AB=1.00 & B↔AB=0.50 (> 0.25)",Mismatch,INTEGRATED
7,Semantic Mismatch,Assumptions,Integrated,Coverage threshold ≥ 0.50,"horizontal homogeneity; turbulence driven by wind, buoyancy, bottom shear; 1d vertical structure","ecology responds to physical drivers light, mixing, temperature; trophic groups, sediment modeled mechanistically; no horizontal heterogeneity","hydrodynamic conditions influence ecological processes; vertical structure dominates system behavior; model components share spatial, temporal structure","A→AB:0.15 (covered: structure, vertical) | B→AB:0.00 (covered: —) | A∪B→AB:0.15 (covered: structure, vertical) | uncovered_AB: behavior, conditions, dominates, ecological, hydrodynamic, influence, processes, share, spatial, system, temporal",Mismatch,INTEGRATED
7,Semantic Mismatch,Description,Integrated,Coverage threshold ≥ 0.50,"a 1d water column hydrodynamic model simulating vertical mixing, turbulence, hydrodynamics, providing physical driver fields for coupled biogeochemical models via fabm, receiving ecological feedback variables e.g., light attenuation, heat flux from fabm submodels such as pclake+.; meteorological forcing, initial hydrodynamic conditions, additionally receives ecological feedback variables from fabm submodels.","a process-based biogeochemical lake ecosystem model simulating nutrient cycling, primary production, oxygen dynamics, sediment-water interactions, implemented within the framework for aquatic biogeochemical models fabm for coupling with host hydrodynamic models such as gotm.; physical, chemical drivers provided by gotm via fabm interface; physical hydrodynamic, optical drivers from gotm","a modular aquatic ecosystem modeling system that couples the gotm hydrodynamic model with the pclake+ ecological model through the fabm framework. this integration allows for dynamic simulation of both physical, ecological processes in lakes, coastal waters.","A→AB:0.27 (covered: ecological, fabm, hydrodynamic, pclake, pclake+, pclakeplus, physical) | B→AB:0.23 (covered: aquatic, ecosystem, fabm, gotm, hydrodynamic, physical) | A∪B→AB:0.38 (covered: aquatic, ecological, ecosystem, fabm, gotm, hydrodynamic, pclake, pclake+, pclakeplus, physical) | uncovered_AB: allows, both, coastal, couples, dynamic, integration, lakes, modeling, modular, processes, simulation, system, that, this, through, waters",Mismatch,INTEGRATED
7,Semantic Mismatch,Model Version,Integrated,A or B must equal AB exactly,5.0,2023.1; 5.0,1.0,A==AB:×; B==AB:×,Mismatch,INTEGRATED
7,Software Environment Mismatch,software_specification_and_requirements,Integrated,Pattern-graded similarity/equality,"netcdf, fortran compiler",fabm environment,"fabm-enabled gotm build, netcdf libraries","A↔B=0.00 (> 0.50), A↔AB=0.14 & B↔AB=0.00 (> 0.25)",Mismatch,INTEGRATED
7,Source Code Availability Gap,availability_of_source_code (A),Integrated,Presence required,,,,A provides metadata,Missing,INTEGRATED
7,Source Code Availability Gap,availability_of_source_code (B),Integrated,Presence required,,,,B provides metadata,Missing,INTEGRATED
7,Temporal Coverage Mismatch,temporal_extent_coverage,Integrated,Common exchanged variables align semantically,multi-year,decadal,multi-year,A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTEGRATED
