group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,constraint_template,constraint_category,rm_odp_viewpoint,evaluation_mode,verdict,explanation,adaptation,in_paper_appendix
1,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Loose,Pattern-graded requirement,,,,Loose requires at least one side (or AB) to declare this.,Missing,INTENDED,Synchronization Compatibility,RuntimeLevel,Engineering,LLMAssisted,Gap,,,True
1,Communication Mechanism Mismatch,communication_mechanism,Loose,Pattern-graded requirement,,,,Both sides or AB canonical interface required.,Missing,INTENDED,Interface Compatibility,RuntimeLevel,Computational,LLMAssisted,Gap,,,True
1,Data Schema Mismatch,(A or B).input vs AB.input,Loose,(A or B).input ↔ AB.input (similarity>0),A.in:meteorological forcing wind; radiation; temperature; humidity | B.in:temperature profile + mixing depth from flake; meteorological data hourly in pdf; nutrient load data; bathymetry; hydrology,,(none),max=0.00 | missing: AB.input,Missing,INTENDED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Gap,,,True
1,Data Schema Mismatch,(A or B).output vs AB.output,Loose,(A or B).output ↔ AB.output (similarity>0),A.out:water temperature profile; mixing depth; ice thickness | B.out:nutrients; phytoplankton groups; macrophytes; oxygen; ecosystem service indicators,,(none),max=0.00 | missing: AB.output,Missing,INTENDED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Gap,,,True
1,Data Schema Mismatch,B.output,Loose,B.output ↔ A.input (≥1),nutrients; phytoplankton groups; macrophytes; oxygen; ecosystem service indicators,meteorological forcing wind; radiation; temperature; humidity,,,Mismatch,INTENDED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Mismatch,,,True
1,File Format Mismatch,file_formats,Loose,Presence required,,,,Neither provides metadata.,Missing,INTENDED,Data Format Compatibility,InformationLevel,Information,Deterministic,Gap,Deterministic check: Neither provides metadata.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
1,Operating Environment Mismatch,operating_system,Loose,Declared operating systems must overlap,,,,Operating system not declared on one or both sides.,Missing,INTENDED,Operating Environment Compatibility,RuntimeLevel,Technology,Deterministic,Gap,Deterministic check: Operating system not declared on one or both sides.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
1,Programming Language Incompatibility,programming_language,Loose,Pattern-graded similarity/equality,fortran core; r interface; python interface,c++; r wrapper,,A↔B token-sim=0.00 (> 0.00),Mismatch,INTENDED,Execution Environment Compatibility,RuntimeLevel,Technology,LLMAssisted,Mismatch,,,True
1,Semantic Mismatch,Assumptions,Loose,Coverage vs AB,vertical processes dominate 1d structure; lateral homogeneity; energy balance drives stratification; meteorological forcing sufficiently describes external conditions,1d vertical structure is sufficient; external loads dominate nutrient inputs; no feedback to physical model,,AB value missing.,Missing,INTENDED,Assumption Compatibility,PatternAgnostic,Domain,LLMAssisted,Gap,,,True
1,Semantic Mismatch,Model Type,Loose,Coverage vs AB,"mechanistic, process-based model",mechanistic,,AB value missing.,Missing,INTENDED,(auxiliary) Semantic Mismatch / Model Type,PatternAgnostic,Domain,Deterministic,Gap,Deterministic check: AB value missing.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,False
