group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,constraint_template,constraint_category,rm_odp_viewpoint,evaluation_mode,verdict,explanation,adaptation,in_paper_appendix
11,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Shared,Pattern-graded requirement,,,shared-object commit mechanism,Shared requires both A and B to declare this.,Missing,INTEGRATED,Synchronization Compatibility,RuntimeLevel,Engineering,LLMAssisted,Gap,,,True
11,Communication Mechanism Mismatch,communication_mechanism,Shared,Pattern-graded requirement,,,,Both sides must declare mechanism.,Missing,INTEGRATED,Interface Compatibility,RuntimeLevel,Computational,LLMAssisted,Gap,,,True
11,Conceptual Quality Gap,Authors’ Unique Identifier,Shared,Pattern-agnostic,,,,Neither provides metadata.,Missing,INTEGRATED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Gap,,,True
11,Data Schema Mismatch,(A or B).input vs AB.input,Shared,(A or B).input ↔ AB.input (similarity>0),A.in:precipitation; temperature; landcover-based et parameters; soil hydraulic parameters; channel geometry; mesh; parameters; forcing assembled by pihmgis | B.in:dem; soils; land cover; hydrography; geospatial datasets consumed to produce pihm structures,,(none),max=0.00 | missing: AB.input,Missing,INTEGRATED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Gap,,,True
11,Data Schema Mismatch,(A or B).output vs AB.output,Shared,(A or B).output ↔ AB.output (similarity>0),A.out:surface runoff; soil moisture; groundwater storage; stream discharge | B.out:mesh connectivity; soil / landcover parameters; river network topology; forcing time series,,hydrologic states; gis-consistent spatial fields,max=0.00,Mismatch,INTEGRATED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Mismatch,,,True
11,Data Schema Mismatch,A.output,Shared,A.output ↔ B.input (≥1),surface runoff; soil moisture; groundwater storage; stream discharge,dem; soils; land cover; hydrography; geospatial datasets consumed to produce pihm structures,,,Mismatch,INTEGRATED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Mismatch,,,True
11,Data Synchronization,data_synchronization,Shared,Pattern-graded requirement,,,real-time two-way shared-state synchronization,Shared requires A and B to declare synchronization.,Missing,INTEGRATED,Synchronization Compatibility,RuntimeLevel,Engineering,LLMAssisted,Gap,,,True
11,Distribution Version Mismatch,distribution_version,Shared,Pattern-graded similarity/equality,pihm version used in pihmgis paper,as implemented in the object-oriented shared data model,shared-data-model pihm-pihmgis framework,A↔B token-sim=0.00 (> 0.25),Mismatch,INTEGRATED,Execution Environment Compatibility,RuntimeLevel,Technology,LLMAssisted,Mismatch,,,True
11,Execution Constraint Mismatch,execution_constraints,Shared,Pattern-graded requirement,,,"schema consistency, synchronized shared-structure updates",Shared requires both A and B to declare this.,Missing,INTEGRATED,Execution Ordering Compatibility,RuntimeLevel,Engineering,Deterministic,Gap,Deterministic check: Shared requires both A and B to declare this.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
11,File Format Mismatch,file_formats,Shared,Presence required,,,,Neither provides metadata.,Missing,INTEGRATED,Data Format Compatibility,InformationLevel,Information,Deterministic,Gap,Deterministic check: Neither provides metadata.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
11,Landing Page Gap,landing_page (A),Shared,Presence required,,,,A provides landing page,Missing,INTEGRATED,(auxiliary) Landing Page Gap / landing_page (A),RuntimeLevel,Technology,Deterministic,Gap,Deterministic check: A provides landing page,Provide the missing metadata field(s) for both models before this constraint can be assessed.,False
11,Landing Page Gap,landing_page (B),Shared,Presence required,,,,B provides landing page,Missing,INTEGRATED,(auxiliary) Landing Page Gap / landing_page (B),RuntimeLevel,Technology,Deterministic,Gap,Deterministic check: B provides landing page,Provide the missing metadata field(s) for both models before this constraint can be assessed.,False
11,Latency Expectation Mismatch,latency_expectations,Shared,Pattern-graded requirement,,,low latency in-memory access,Shared requires both A and B to declare this.,Missing,INTEGRATED,Latency Compatibility,RuntimeLevel,Engineering,LLMAssisted,Gap,,,True
11,Operating Environment Mismatch,operating_system,Shared,Declared operating systems must overlap,,,,Operating system not declared on one or both sides.,Missing,INTEGRATED,Operating Environment Compatibility,RuntimeLevel,Technology,Deterministic,Gap,Deterministic check: Operating system not declared on one or both sides.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
11,Programming Language Incompatibility,programming_language,Shared,Pattern-graded similarity/equality,c; c-family,c++; native_c_cpp_fortran_family,c; c++; native_c_cpp_fortran_family,A↔B token-sim=0.00 (> 0.25),Mismatch,INTEGRATED,Execution Environment Compatibility,RuntimeLevel,Technology,LLMAssisted,Mismatch,,,True
11,Semantic Mismatch,Assumptions,Shared,Coverage threshold ≥ 0.50,"variably saturated subsurface flow solved via richards equation; overland, channel flow follow diffusive / kinematic wave approximations; snow, et, canopy processes are spatially aggregated per mesh element; watershed is represented via a triangular irregular network tin","dem-based watershed delineation is accurate; soil, land-cover maps represent spatial variability; tin mesh captures hydrologic connectivity","gis, hydrologic components can operate on a unified schema; internal database reflects spatial, hydrologic topology consistently; no file-based coupling required at runtime","A→AB:0.00 (covered: —) | B→AB:0.18 (covered: based, hydrologic, spatial) | A∪B→AB:0.18 (covered: based, hydrologic, spatial) | uncovered_AB: can, consistently, coupling, database, file, gis, internal, no, operate, reflects, required, runtime, topology, unified",Mismatch,INTEGRATED,Assumption Compatibility,PatternAgnostic,Domain,LLMAssisted,Mismatch,,,True
11,Semantic Mismatch,Description,Shared,Coverage threshold ≥ 0.50,"a fully coupled, multi-process hydrologic model solving surface-subsurface flow, channel routing, interception, snow, evapotranspiration, groundwater dynamics using a semi-discrete finite-volume formulation on an unstructured mesh. used as the core hydrologic engine integrated via a shared data model in pihmgis.; mesh, parameters, forcing assembled by pihmgis","a gis-based model building, parameterization system that constructs the unstructured mesh, river network, soil / land-cover parameters, forcing inputs for pihm. uses an object-oriented shared data model that allows gis, the hydrologic model to operate on consistent shared data structures.; geospatial datasets consumed to produce pihm structures","a shared-data-model-based hydrologic modeling system where the pihm hydrologic engine, pihmgis gis builder operate on a unified object-oriented database. gis layers, model parameters, mesh elements, hydrologic states share the same data structures, enabling consistent, non-file-based, synchronous updates between gis, hydrologic modeling components.","A→AB:0.19 (covered: engine, hydrologic, mesh, parameters, pihmgis, shared) | B→AB:0.42 (covered: based, consistent, gis, hydrologic, mesh, object, operate, oriented, parameters, pihm, shared, structures, system) | A∪B→AB:0.48 (covered: based, consistent, engine, gis, hydrologic, mesh, object, operate, oriented, parameters, pihm, pihmgis, shared, structures, system) | uncovered_AB: between, builder, database, elements, enabling, file, layers, modeling, non, same, share, states, synchronous, unified, updates, where",Mismatch,INTEGRATED,(auxiliary) Semantic Mismatch / Description,PatternAgnostic,Domain,Deterministic,Mismatch,"Deterministic check: A→AB:0.19 (covered: engine, hydrologic, mesh, parameters, pihmgis, shared) | B→AB:0.42 (covered: based, consistent, gis, hydrologic, mesh, object, operate, oriented, parameters, pihm, shared, structures, system) | A∪B→AB:0.48 (covered: based, consistent, engine, gis, hydrologic, mesh, object, operate, oriented, parameters, pihm, pihmgis, shared, structures, system) | uncovered_AB: between, builder, database, elements, enabling, file, layers, modeling, non, same, share, states, synchronous, unified, updates, where",Introduce an explicit mediation/adaptation step to resolve this incompatibility before integration.,False
11,Semantic Mismatch,Keywords,Shared,Coverage threshold ≥ 0.50,hydrologic model; surface-subsurface coupling; finite-volume; watershed modeling; unstructured mesh,gis model builder; shared data model; mesh generation; parameterization; watershed delineation,shared data model; gis-hydrology coupling; object-oriented integration; pihm; pihmgis,"A→AB:0.11 (covered: coupling) | B→AB:0.22 (covered: gis, shared) | A∪B→AB:0.33 (covered: coupling, gis, shared) | uncovered_AB: hydrology, integration, object, oriented, pihm, pihmgis",Mismatch,INTEGRATED,(auxiliary) Semantic Mismatch / Keywords,PatternAgnostic,Domain,Deterministic,Mismatch,"Deterministic check: A→AB:0.11 (covered: coupling) | B→AB:0.22 (covered: gis, shared) | A∪B→AB:0.33 (covered: coupling, gis, shared) | uncovered_AB: hydrology, integration, object, oriented, pihm, pihmgis",Introduce an explicit mediation/adaptation step to resolve this incompatibility before integration.,False
11,Semantic Mismatch,Model Version,Shared,A or B must equal AB exactly,as described in pihmgis integration paper,as described in object-oriented shared data model paper,as implemented in shared data model framework,A==AB:×; B==AB:×,Mismatch,INTEGRATED,(auxiliary) Semantic Mismatch / Model Version,PatternAgnostic,Domain,Deterministic,Mismatch,Deterministic check: A==AB:×; B==AB:×,Introduce an explicit mediation/adaptation step to resolve this incompatibility before integration.,False
11,Semantic Mismatch,Purpose & Pattern,Shared,Coverage threshold ≥ 0.50,"simulate the coupled surface, subsurface, channel hydrology of a watershed; multi-process hydrologic core running on an unstructured mesh","prepare meshes, parameters, forcing inputs for pihm; gis-based model-building workflow with shared data structures","enable consistent, real-time data sharing between gis, hydrologic model components; shared-state integration via unified object-oriented database; shared","A→AB:0.06 (covered: hydrologic) | B→AB:0.12 (covered: gis, shared) | A∪B→AB:0.19 (covered: gis, hydrologic, shared) | uncovered_AB: between, consistent, database, enable, integration, object, oriented, real, sharing, state, time, unified, via",Mismatch,INTEGRATED,Purpose Compatibility,PatternAgnostic,Domain,LLMAssisted,Mismatch,,,True
11,Semantic Mismatch,Scope,Shared,Coverage threshold ≥ 0.50,watershed to basin-scale hydrologic simulation,"watershed terrain, parameter processing",unified gis-hydrologic modeling environment,"A→AB:0.20 (covered: hydrologic) | B→AB:0.00 (covered: —) | A∪B→AB:0.20 (covered: hydrologic) | uncovered_AB: environment, gis, modeling, unified",Mismatch,INTEGRATED,Scope Compatibility,PatternAgnostic,Domain,LLMAssisted,Mismatch,,,True
11,Software Environment Mismatch,software_specification_and_requirements,Shared,Pattern-graded similarity/equality,netcdf4_family; c_abi,gdal_family; sqlite; xml_family,gdal_family; sqlite; xml_family; netcdf4_family; c_abi,A↔B token-sim=0.17 (> 0.25),Mismatch,INTEGRATED,Execution Environment Compatibility,RuntimeLevel,Technology,LLMAssisted,Mismatch,,,True
11,Source Code Availability Gap,availability_of_source_code (A),Shared,Presence required,,,,A provides metadata,Missing,INTEGRATED,(auxiliary) Source Code Availability Gap / availability_of_source_code (A),RuntimeLevel,Technology,Deterministic,Gap,Deterministic check: A provides metadata,Provide the missing metadata field(s) for both models before this constraint can be assessed.,False
11,Source Code Availability Gap,availability_of_source_code (B),Shared,Presence required,,,,B provides metadata,Missing,INTEGRATED,(auxiliary) Source Code Availability Gap / availability_of_source_code (B),RuntimeLevel,Technology,Deterministic,Gap,Deterministic check: B provides metadata,Provide the missing metadata field(s) for both models before this constraint can be assessed.,False
