group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,LLM-Result,LLM-suggestion
3,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Loose,Pattern-graded requirement,,,,Loose requires at least one side (or AB) to declare this.,Missing,INTEGRATED,Gap,field A+B missing
3,Communication Mechanism Mismatch,communication_mechanism,Loose,Pattern-graded requirement,,,,Both sides or AB canonical interface required.,Missing,INTEGRATED,Gap,field A+B missing
3,Data Schema Mismatch,(A or B).input vs AB.input,Loose,(A or B).input ↔ AB.input (similarity>0),A.in:wind_u10; wind_v10; sea_ice_concentration; surface_current_u; surface_current_v; atmospheric winds; optional ocean / ice modifiers; optional surface currents; sea-ice fraction for wave-current / ice effects; 10 m wind u10; v10; sea-ice concentration attenuation; bathymetry; coastlines | B.in:stokes_drift_surface_u; stokes_drift_surface_v; stokes_profile_scale; wave_modified_stress_to_ocean; wave_breaking_tke_flux; sea_ice_concentration; wave-induced fields from a spectral wave model plus standard surface forcing; provides stokes drift; wave-modified stress; breaking-induced tke flux; surface wind stress; heat / freshwater fluxes; runoff; restoring fields; sea-ice fields if lim is enabled,,(none),max=0.00 | missing: AB.input,Missing,INTEGRATED,Gap,field B missing
3,Dimensionality Mismatch,dimensionality,Loose,Common exchanged variables align semantically,2d spatial + 2d spectral frequency × direction,3d,"3d ocean , 2d spectral waves",A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTEGRATED,Mismatch,Resample or interpolate data to match dimensions.
3,Distribution Version Mismatch,distribution_version,Loose,Pattern-graded similarity/equality,cy38r1,v3.4,2015 release,A↔B token-sim=0.00 (> 0.00),Mismatch,INTEGRATED,Match,"Version can vary across distributions/releases; treat as informational metadata unless it changes input/output schema, units, timestep, or execution dependencies."
3,File Format Mismatch,file_formats,Loose,Presence required,,,,Neither provides metadata.,Missing,INTEGRATED,Gap,field A+B missing
3,License Incompatibility,license,Loose,Pattern-graded requirement,ecmwf license non-commercial use,cecill-c,,A↔B token-sim=0.00 (> 0.00),Mismatch,INTEGRATED,Match,License incompatibility does not necessarily block integration if usage complies with both licenses.
3,Semantic Mismatch,Assumptions,Loose,Coverage threshold ≥ 0.50,"linear wave theory with source / sink terms; spectral representation in frequency-direction space; waves forced primarily by 10 m winds, dissipation via breaking, bottom friction","boussinesq, hydrostatic primitive equations; gls / tke turbulence closures; structured grid e.g., orca with lateral mixing schemes","stokes drift affects upper-ocean mixing; wave breaking injects turbulence at surface; wave-modified stress alters momentum input into the ocean; coupling is achieved through shared fields, compatible spatial grids","A→AB:0.10 (covered: breaking, wave) | B→AB:0.10 (covered: mixing, turbulence) | A∪B→AB:0.19 (covered: breaking, mixing, turbulence, wave) | uncovered_AB: achieved, affects, alters, compatible, coupling, drift, grids, injects, is, modified, momentum, shared, spatial, stokes, stress, through, upper",Mismatch,INTEGRATED,Match,Semantic differences can be managed through careful mapping and transformation.
3,Semantic Mismatch,Model Version,Loose,A or B must equal AB exactly,cy38r1 as used in paper; 2015; v3.4,v3.4 used in experiments; 2015; cy38r1,nemo v3.4 + ecwam cy38r1; 2015; cy38r1,A==AB:×; B==AB:×,Mismatch,INTEGRATED,Match,"Version can vary across models/distributions; this is typically not an integration blocker as long as interfaces, schemas, and runtime contracts remain compatible."
3,Semantic Mismatch,Purpose & Pattern,Loose,Coverage threshold ≥ 0.50,"simulate ocean surface wave spectrum, provide wave-induced parameters for air-sea interaction; standalone wave model or coupled via flux / field exchange","simulate 3d ocean currents, temperature, salinity, mixing, optionally sea ice / biogeochemistry; modular ocean core with optional coupling to waves, atmosphere","simulate realistic ocean dynamics including surface wave effects on mixing, momentum flux; two-way coupled ocean-wave model exchanging momentum, turbulence fields; loose","A→AB:0.15 (covered: simulate, wave) | B→AB:0.15 (covered: mixing, simulate) | A∪B→AB:0.23 (covered: mixing, simulate, wave) | uncovered_AB: dynamics, effects, exchanging, including, loose, momentum, realistic, turbulence, two, way",Mismatch,INTEGRATED,Match,Purpose and pattern differences can be managed through orchestration and field mapping.
3,Source Code Availability Gap,availability_of_source_code (A),Loose,Presence required,,,,A provides metadata,Missing,INTEGRATED,Gap,field A+B missing
3,Temporal Coverage Mismatch,temporal_extent_coverage,Loose,Common exchanged variables align semantically,days to decades,multi-decadal to centennial,multi-year simulations,A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTEGRATED,Mismatch,Resample or interpolate data to match temporal coverage.
