group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,LLM-Result,LLM-suggestion
5,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Shared,Pattern-graded requirement,,,,Shared requires both A and B to declare this.,Missing,INTENDED,Gap,field A+B missing
5,Communication Mechanism Mismatch,communication_mechanism,Shared,Pattern-graded requirement,,,,Both sides must declare mechanism.,Missing,INTENDED,Gap,field A+B missing
5,Data Schema Mismatch,(A or B).input vs AB.input,Shared,(A or B).input ↔ AB.input (similarity>0),A.in:sea_surface_temperature; sea_surface_salinity; ocean_surface_currents_u; ocean_surface_currents_v; ocean_mixed_layer_depth; downwelling_shortwave_radiation; downwelling_longwave_radiation; ocean surface state; fluxes from opa; physical ocean state variables; surface fluxes for sea-ice thermodynamics / dynamics | B.in:ice_concentration; ice_thickness; snow_thickness; ice_ocean_freshwater_flux; ice_ocean_heat_flux; ice_ocean_momentum_stress; sea-ice state; fluxes from lim; sea-ice thermodynamic; dynamic state plus ice-ocean fluxes,,(none),max=0.00 | missing: AB.input,Missing,INTENDED,Gap,field B missing
5,Data Schema Mismatch,(A or B).output vs AB.output,Shared,(A or B).output ↔ AB.output (similarity>0),A.out:ice_concentration; ice_thickness; snow_thickness; ice_drift_u; ice_drift_v; surface_albedo; ice_ocean_freshwater_flux; ice_ocean_heat_flux; ice_ocean_momentum_stress | B.out:sea_surface_temperature; sea_surface_salinity; ocean_surface_currents_u; ocean_surface_currents_v; mixed_layer_depth; downwelling_shortwave_radiation; downwelling_longwave_radiation,,coupled ocean-ice diagnostics,max=0.00,Mismatch,INTENDED,Gap,field B missing
5,Dimensionality Mismatch,dimensionality,Shared,Common exchanged variables align semantically,2d plan-view with multilayer thermodynamics,3d,,A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTENDED,Mismatch,Resample or interpolate one of the models to match the dimensionality of the other.
5,Distribution Version Mismatch,distribution_version,Shared,Pattern-graded similarity/equality,as used in orca2-lim 2005 application,8.2 study,,A↔B token-sim=0.00 (> 0.25),Mismatch,INTENDED,Match,"Version can vary across distributions/releases; treat as informational metadata unless it changes input/output schema, units, timestep, or execution dependencies."
5,File Format Mismatch,file_formats,Shared,Presence required,,,,Neither provides metadata.,Missing,INTENDED,Gap,field A+B missing
5,Landing Page Gap,landing_page (A),Shared,Presence required,,,,A provides landing page,Missing,INTENDED,Gap,field A+B missing
5,Latency Expectation Mismatch,latency_expectations,Shared,Pattern-graded requirement,,,exchange every coupling interval few ocean steps,Shared requires both A and B to declare this.,Missing,INTENDED,Gap,field A+B missing
5,Semantic Mismatch,Assumptions,Shared,Coverage threshold ≥ 0.50,"sea ice treated as a 2-d continuum with vp rheology.; effective thermal conductivity assumes uniform subgrid thickness distribution.; albedo parameterized by surface state, snow / ice thickness.; snow-ice formation when snow depresses surface below sea level.","hydrostatic, boussinesq primitive equations, nonlinear eos.; parameterized mesoscale eddies via gm90, level-1.5 tke for vertical mixing.; bottom boundary-layer scheme for dense overflows.","both submodels share identical timestep, grid; two-way exchange each coupling interval; flux variables are directly compatible in units, meaning","A→AB:0.00 (covered: —) | B→AB:0.00 (covered: —) | A∪B→AB:0.00 (covered: —) | uncovered_AB: are, both, compatible, coupling, directly, each, grid, identical, interval, meaning, share, submodels, timestep, two, units, way",Mismatch,INTENDED,Match,"Both submodels share identical timestep, grid; two-way exchange each coupling interval; flux variables are directly compatible in units, meaning."
5,Semantic Mismatch,Description,Shared,Coverage threshold ≥ 0.50,"two-dimensional dynamic-thermodynamic sea-ice model with a three-layer thermodynamics scheme snow, 1 layer, ice, 2 layers , viscous-plastic vp rheology, advection via second-order moments prather , parameterized lead formation / closure. coupled to opa to exchange momentum, heat, freshwater fluxes.; ocean surface state, fluxes from opa; physical ocean state variables, surface fluxes for sea-ice thermodynamics / dynamics","hydrostatic, primitive-equation ogcm with free surface, includes isopycnal mixing, gent-mcwilliams eddy advection, tke vertical mixing, double diffusion, a bottom boundary-layer scheme. coupled to lim for sea-ice interactions.; sea-ice state, fluxes from lim; sea-ice thermodynamic, dynamic state plus ice-ocean fluxes","coupled configuration integrating the louvain-la-neuve sea-ice model lim with the océan parallélisé ogcm opa . simulates polar ocean-ice interactions, including exchanges of momentum, heat, salt, freshwater, with two-way flux coupling.; provides ice-ocean fluxes, ice state to opa; provides ocean surface state, currents to lim","A→AB:0.24 (covered: freshwater, heat, momentum, opa, state, two) | B→AB:0.16 (covered: interactions, lim, ogcm, state) | A∪B→AB:0.36 (covered: freshwater, heat, interactions, lim, momentum, ogcm, opa, state, two) | uncovered_AB: configuration, coupling, currents, including, integrating, la, lis, louvain, neuve, oc, parall, polar, provides, salt, simulates, way",Mismatch,INTENDED,Match,"A→AB:0.24 (covered: freshwater, heat, momentum, opa, state, two) | B→AB:0.16 (covered: interactions, lim, ogcm, state) | A∪B→AB:0.36 (covered: freshwater, heat, interactions, lim, momentum, ogcm, opa, state, two)"
5,Semantic Mismatch,Keywords,Shared,Coverage threshold ≥ 0.50,"sea ice; vp rheology; thermodynamics; leads, ridging; albedo parameterization; high latitudes",ogcm; free surface; isopycnal mixing; gent-mcwilliams; tke closure; double diffusion,sea ice; ocean circulation; polar climate; flux exchange; thermodynamics; dynamics,"A→AB:0.20 (covered: thermodynamics) | B→AB:0.00 (covered: —) | A∪B→AB:0.20 (covered: thermodynamics) | uncovered_AB: circulation, climate, dynamics, polar",Mismatch,INTENDED,Match,A→AB:0.20 (covered: thermodynamics) | B→AB:0.00 (covered: —) | A∪B→AB:0.20 (covered: thermodynamics)
5,Semantic Mismatch,Model Version,Shared,A or B must equal AB exactly,dynamic-thermodynamic lim as used in orca2-lim; 8.2,8.2 study; dynamic-thermodynamic lim,dynamic-thermodynamic lim; 8.2,A==AB:×; B==AB:×,Mismatch,INTENDED,Match,"Version can vary across models/distributions; this is typically not an integration blocker as long as interfaces, schemas, and runtime contracts remain compatible."
5,Semantic Mismatch,Scope,Shared,Coverage threshold ≥ 0.50,"global arctic, antarctic when coupled, climate to decadal scales",global ocean circulation with focus on high latitudes when coupled orca2 grid,"polar, subpolar ocean-ice systems","A→AB:0.00 (covered: —) | B→AB:0.00 (covered: —) | A∪B→AB:0.00 (covered: —) | uncovered_AB: polar, subpolar, systems",Mismatch,INTENDED,Match,"Both models cover polar regions, making them compatible."
5,Semantic Mismatch,Title,Shared,Coverage threshold ≥ 0.50,"lim, louvain-la-neuve sea-ice model; thierry fichefet; luis a. morales maqueda","opa 8.2, océan parallélisé ocean general circulation model; gurvan madec",coupled sea-ice-ocean modeling framework lim + opa; ice_concentration; ice_thickness; snow_thickness; ice_ocean_freshwater_flux; ice_ocean_heat_flux; ice_ocean_momentum_stress; sea_surface_temperature; sea_surface_salinity; ocean_surface_currents_u; ocean_surface_currents_v; ocean_mixed_layer_depth; downwelling_shortwave_radiation; downwelling_longwave_radiation,"A→AB:0.05 (covered: lim) | B→AB:0.05 (covered: opa) | A∪B→AB:0.10 (covered: lim, opa) | uncovered_AB: concentration, currents, depth, downwelling, freshwater, heat, layer, longwave, mixed, modeling, momentum, radiation, salinity, shortwave, snow, stress, temperature, thickness",Mismatch,INTENDED,Match,"A→AB:0.05 (covered: lim) | B→AB:0.05 (covered: opa) | A∪B→AB:0.10 (covered: lim, opa)"
5,Software Environment Mismatch,software_specification_and_requirements,Shared,Pattern-graded similarity/equality,"netcdf i / o, coupled driver for flux exchanges","netcdf i / o, tripolar grid support",,A↔B token-sim=0.20 (> 0.25),Mismatch,INTENDED,Match,A↔B token-sim=0.20 (> 0.25)
5,Source Code Availability Gap,availability_of_source_code (A),Shared,Presence required,,,,A provides metadata,Missing,INTENDED,Gap,field A+B missing
5,Source Code Availability Gap,availability_of_source_code (B),Shared,Presence required,,,,B provides metadata,Missing,INTENDED,Gap,field A+B missing
5,Temporal Resolution Mismatch,time_steps_temporal_resolution,Shared,Common exchanged variables align semantically,"coupled every few ocean steps, diagnostics monthly / daily",96 min timestep in study,,A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTENDED,Mismatch,Resample or interpolate one of the models to match the temporal resolution of the other.
