group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,LLM-Result,LLM-suggestion
7,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Integrated,Pattern-graded requirement,,,,Integrated requires A and B to declare this.,Missing,INTENDED,Gap,field A+B missing
7,Communication Mechanism Mismatch,communication_mechanism,Integrated,Pattern-graded requirement,,,,Integrated requires both sides to declare mechanism.,Missing,INTENDED,Gap,field A+B missing
7,Data Schema Mismatch,(A or B).input vs AB.input,Integrated,(A or B).input ↔ AB.input (similarity>0),A.in:meteorological forcing wind; air temperature; radiation; initial temperature; salinity profiles; heat flux feedback q_bio; surface albedo / wind-drag modifiers; meteorological forcing; initial hydrodynamic conditions; additionally receives ecological feedback variables from fabm submodels. | B.in:temperature profile t; turbulent mixing coefficients kz; scalar irradiance / par; salinity profile if relevant; physical; chemical drivers provided by gotm via fabm interface; physical hydrodynamic; optical drivers from gotm,,(none),max=0.00 | missing: AB.input,Missing,INTENDED,Gap,field B missing
7,Data Schema Mismatch,(A or B).output vs AB.output,Integrated,(A or B).output ↔ AB.output (similarity>0),A.out:temperature profile t; salinity profile; turbulent mixing coefficients kz; scalar irradiance / par | B.out:nutrient concentrations n; p; si; phytoplankton biomass; macrophyte biomass; zooplankton biomass; oxygen concentration; bio-optical properties kd_bio; heat production due to light absorption q_bio; surface albedo / drag modifiers,,(none),max=0.00 | missing: AB.output,Missing,INTENDED,Gap,field B missing
7,Data Synchronization,data_synchronization,Integrated,Pattern-graded requirement,"two-way, provides physical drivers, receives ecological feedbacks","receives gotm drivers, returns bio-feedbacks to gotm",,Integrated expects explicit synchronous/lockstep cues.,Mismatch,INTENDED,Match,The values are semantically similar and can be integrated with minor adjustments.
7,Distribution Version Mismatch,distribution_version,Integrated,Exact equality required,5.0,2023.1,,Not equal.,Mismatch,INTENDED,Match,"Version can vary across distributions/releases; treat as informational metadata unless it changes input/output schema, units, timestep, or execution dependencies."
7,Execution Constraint Mismatch,execution_constraints,Integrated,Pattern-graded requirement,"time step, vertical grid synchronized with fabm plugins","time step, grid must match gotm, physical drivers updated each coupling step",,Integrated expects explicit sync/latency cues.,Mismatch,INTENDED,Match,The values are semantically similar and can be integrated with minor adjustments.
7,File Format Mismatch,file_formats,Integrated,Presence required,,,,Neither provides metadata.,Missing,INTENDED,Gap,field A+B missing
7,Latency Expectation Mismatch,latency_expectations,Integrated,Pattern-graded requirement,online synchronous exchange each time step,,,Integrated requires A and B to declare this.,Missing,INTENDED,Gap,field B missing
7,Programming Language Incompatibility,programming_language,Integrated,Pattern-graded similarity/equality,fortran,fortran; c++,,A↔B token-sim=0.50 (> 0.50),Mismatch,INTENDED,Match,"The token similarity is above the threshold, indicating compatibility."
7,Semantic Mismatch,Assumptions,Integrated,Coverage vs AB,"horizontal homogeneity; turbulence driven by wind, buoyancy, bottom shear; 1d vertical structure","ecology responds to physical drivers light, mixing, temperature; trophic groups, sediment modeled mechanistically; no horizontal heterogeneity",,AB value missing.,Missing,INTENDED,,
