group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,LLM-Result,LLM-suggestion
9,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Integrated,Pattern-graded requirement,,,,Integrated requires A and B to declare this.,Missing,INTEGRATED,Gap,field A+B missing
9,Communication Mechanism Mismatch,communication_mechanism,Integrated,Pattern-graded requirement,,,,Integrated requires both sides to declare mechanism.,Missing,INTEGRATED,Gap,field A+B missing
9,Data Schema Mismatch,(A or B).input vs AB.input,Integrated,(A or B).input ↔ AB.input (similarity>0),A.in:sea surface temperature sst; sea surface salinity sss optional; sea ice concentration sic; sea ice thickness sith optional; ocean surface currents u_ocean; v_ocean; sea surface height ssh optional; ocean lower-boundary fields from ncom1.3 exchanged via the canesm2 internal coupler; ocean surface state used for lower boundary conditions sst; sic; sith; currents; ssh provided via the canesm2 internal coupler | B.in:surface wind stress tau_x; tau_y; 10 m wind u10; v10 optional; net shortwave radiation at surface sw_down; net longwave radiation at surface lw_down; sensible heat flux q_sens; latent heat flux q_lat; precipitation rate p; evaporation rate e; freshwater flux p_minus_e; runoff flux r optional; mean sea level pressure mslp; downwelling par at surface optional; atmospheric surface forcing from canam4 exchanged via the canesm2 internal coupler; atmospheric surface fluxes; pressure forcing for ocean surface boundary conditions provided via the canesm2 internal coupler,,(none),max=0.00 | missing: AB.input,Missing,INTEGRATED,Gap,field B missing
9,Data Synchronization,data_synchronization,Integrated,Pattern-graded requirement,"fluxes atm→ocn sent, surface state ocn→atm received through coupler with grid remapping","ocean surface state ocn→atm , fluxes atm→ocn exchanged through the coupler with remapping, masking",hourly to daily via coupler layer,Integrated expects explicit synchronous/lockstep cues.,Mismatch,INTEGRATED,Match,The values are semantically similar and can be integrated with minor adjustments.
9,Distribution Version Mismatch,distribution_version,Integrated,Exact equality required,v4,v1.3,v2,Not equal.,Mismatch,INTEGRATED,Match,"Version can vary across distributions/releases; treat as informational metadata unless it changes input/output schema, units, timestep, or execution dependencies."
9,Error Handling Mismatch,error_handling,Integrated,Pattern-graded requirement,failsafes for model divergence,"tracer checks, restart systems","coupling interface handles missing data, restarts","A↔AB=0.00, B↔AB=0.00 (>0 required if AB exists)",Mismatch,INTEGRATED,Mismatch,Implement a common failsafe mechanism that can handle both model divergence and tracer checks.
9,Execution Constraint Mismatch,execution_constraints,Integrated,Pattern-graded requirement,"coupling timestep aligned with ocean e.g., hourly-6-hourly , conservative flux remapping, synchronized calendars","consistent coupling timestep, conservative flux coupling, identical calendars / time-bases",flux coupling timestep synchronization,Integrated expects explicit sync/latency cues.,Mismatch,INTEGRATED,Match,The values are semantically similar and can be integrated with minor adjustments.
9,File Format Mismatch,file_formats,Integrated,Presence required,,,,Neither provides metadata.,Missing,INTEGRATED,Gap,field A+B missing
9,Hardware Resource Mismatch,hardware_specification_and_requirements,Integrated,Pattern-graded similarity/equality,hpc cluster required,hpc required,supercomputing clusters required,"A↔B=0.67 (> 0.50), A↔AB=0.20 & B↔AB=0.25 (> 0.25)",Mismatch,INTEGRATED,Match,The values are semantically similar and can be integrated with minor adjustments.
9,Latency Expectation Mismatch,latency_expectations,Integrated,Pattern-graded requirement,exchange each coupling step via canesm2 internal coupler,exchange each coupling step via canesm2 internal coupler,low-latency component coupling,Integrated expects explicit sync/latency cues.,Mismatch,INTEGRATED,Match,The values are semantically similar and can be integrated with minor adjustments.
